ϩⲣⲟⲩⲑ ⲧ ⲙⲱⲁⲃⲓⲧⲏⲥ ⲧⲉⲥ ϣⲉⲗⲉⲉⲧ	ϩⲣⲟⲩⲑ	person	Ruth (biblical figure)	1
ϩⲣⲟⲩⲑ ⲧⲉⲕ ϩⲙϩⲁⲗ	ϩⲣⲟⲩⲑ	person	Ruth (biblical figure)	1
ϩⲣⲟⲩⲑ ⲧⲉⲥ ϣⲉⲗⲉⲉⲧ	ϩⲣⲟⲩⲑ	person	Ruth (biblical figure)	1
ϩⲣⲟⲩⲫⲟⲥ	ϩⲣⲟⲩⲫⲟⲥ	person	Rufus (biblical figure)	1
ϩⲣⲱⲙⲏ	ϩⲣⲱⲙⲏ	place	Rome	1
ϫⲱⲑⲁⲉⲓⲙ	ϫⲱⲑⲁⲉⲓⲙ	place	Tel Dothan	1
ⲁⲁⲣⲱⲛ	ⲁⲁⲣⲱⲛ	person	Aaron	6
ⲁⲃⲃⲁⲕⲟⲩⲙ	ⲁⲃⲃⲁⲕⲟⲩⲙ	person	Habakkuk	1
ⲁⲃⲃⲁⲕⲟⲩⲙ ⲡⲉ ⲡⲣⲟⲫⲏⲧⲏⲥ	ⲁⲃⲃⲁⲕⲟⲩⲙ	person	Habakkuk	1
ⲁⲃⲉⲓⲟⲩⲇ	ⲁⲃⲉⲓⲟⲩⲇ	person	Abihu	1
ⲁⲃⲉⲗ	ⲁⲃⲉⲗ	person	Abel	6
ⲁⲃⲉⲗ ⲛ ⲇⲓⲕⲁⲓⲟⲥ	ⲁⲃⲉⲗ	person	Abel	1
ⲁⲃⲉⲗ ⲛⲧ ⲁ ϥ ϣⲱⲡⲉ ⲛ ⲁⲣⲭⲏ ⲛ ⲧ ⲙⲛⲧⲣⲉϥϣⲙϣⲉⲛⲟⲩⲧⲉ	ⲁⲃⲉⲗ	person	Abel	1
ⲁⲃⲉⲗ ⲡ ⲇⲓⲕⲁⲓⲟⲥ	ⲁⲃⲉⲗ	person	Abel	2
ⲁⲃⲓⲁ	ⲁⲃⲓⲁ	person	Abijah	1
ⲁⲃⲓⲁⲑⲁⲣ ⲡ ⲁⲣⲭⲓⲉⲣⲉⲩⲥ	ⲁⲃⲓⲁⲑⲁⲣ	person	Abiathar	1
ⲁⲃⲓⲁⲥ	ⲁⲃⲓⲁⲥ	person	Abijah	1
ⲁⲃⲓⲟⲩⲇ	ⲁⲃⲓⲟⲩⲇ	person	Abihud	1
