#added
ϩⲓⲣⲙ	1	1	1
ϩⲱⲧ	1	1	1
#observed
ⲙⲡ	1159	1	0.9991379310344828
ⲉⲩ	584	1	0.9982905982905983
ϩⲙ	554	1	0.9981981981981982
ⲛⲧⲁ	516	1	0.9980657640232108
ⲉⲧⲣⲉ	332	1	0.996996996996997
%ⲛⲛ	328	1	0.9969604863221885
%ⲉⲧ	959	3	0.9968814968814969
%ⲉⲛ	289	1	0.996551724137931
%ⲙ	1966	8	0.9959473150962512
ⲙⲛⲛ	221	1	0.9954954954954955
ϩⲙⲡ	220	1	0.995475113122172
ⲛⲧ	832	4	0.9952153110047847
ⲡⲉϫⲁ	181	1	0.9945054945054945
ⲛϥ	178	1	0.994413407821229
ⲛϭⲓⲡ	174	1	0.9942857142857143
ϩⲓ	158	1	0.9937106918238994
%ⲡ	1099	7	0.9936708860759493
ⲛⲑ	157	1	0.9936708860759493
ⲉⲁ	151	1	0.993421052631579
ⲧⲏⲣ	442	3	0.9932584269662922
ⲛⲥⲉ	146	1	0.9931972789115646
ⲙⲡⲉϥ	134	1	0.9925925925925926
ϩⲛ	1152	9	0.9922480620155039
ϫⲉⲡ	123	1	0.9919354838709677
ⲙⲛⲡ	122	1	0.991869918699187
ⲁϥ	609	5	0.99185667752443
ⲛⲉⲧ	121	1	0.9918032786885246
ⲛⲛⲉ	113	1	0.9912280701754386
ϩⲛⲛ	112	1	0.9911504424778761
ϩⲛⲧ	109	1	0.990909090909091
ⲉⲡ	322	3	0.9907692307692307
ⲙⲡⲣ	100	1	0.9900990099009901
%ⲁ	1156	14	0.9880341880341881
ⲛⲧⲛ	76	1	0.987012987012987
ⲁⲓ	73	1	0.9864864864864865
ⲙⲁⲩⲁⲁ	70	1	0.9859154929577465
ⲛⲅ	68	1	0.9855072463768116
ⲉⲛⲧⲁ	64	1	0.9846153846153847
ⲛⲟⲩ	319	5	0.9845679012345679
ⲙⲁⲣⲉ	63	1	0.984375
ⲛⲛⲉϥ	62	1	0.9841269841269841
%ⲁⲩ	183	3	0.9838709677419355
ϫⲉⲉ	61	1	0.9838709677419355
ϩⲛϩⲉⲛ	60	1	0.9836065573770492
ⲡⲉⲧ	178	3	0.9834254143646409
ⲉⲧⲃⲏⲏⲧ	58	1	0.9830508474576272
ⲉϣⲁ	58	1	0.9830508474576272
ϫⲉⲁ	172	3	0.9828571428571429
ⲛⲛⲉⲛ	56	1	0.9824561403508771
ϩⲓⲧⲙⲡ	56	1	0.9824561403508771
ⲙⲛⲧ	55	1	0.9821428571428571
ⲙⲛ	1162	22	0.981418918918919
ⲛϩⲉⲛ	158	3	0.9813664596273292
ϫⲉ	1704	33	0.9810017271157168
ⲙⲛⲛⲉϥ	51	1	0.9807692307692307
