ⲙⲡⲉⲕⲥⲱⲧⲙ	ⲙⲡⲉ|ⲕ|ⲥⲱⲧⲙ	ⲙ|ⲡⲉⲕ|ⲥⲱⲧⲙ
ⲧⲁϩⲉ	ⲧⲁϩⲉ	ⲧⲁ|ϩⲉ
ⲉⲃⲱⲗ	ⲉ|ⲃⲱⲗ	ⲉⲃⲱⲗ
ⲁⲓⲟ	ⲁ|ⲓ|ⲟ	ⲁⲓⲟ
ⲛⲧⲙⲡⲁϫⲟⲉⲓⲥ	ⲛ|ⲧⲙ|ⲡⲁ|ϫⲟⲉⲓⲥ	ⲛⲧⲙ|ⲡⲁ|ϫⲟⲉⲓⲥ
ⲛⲧⲁⲕⲁⲁⲕ	ⲛⲧ|ⲁ|ⲕ|ⲁⲁ|ⲕ	ⲛⲧ|ⲁ|ⲕⲁⲁ|ⲕ
ⲉϣⲱⲡⲉ	ⲉϣⲱⲡⲉ	ⲉ|ϣⲱⲡⲉ
ⲕⲁⲧⲁⲕⲣⲓⲛⲉ	ⲕⲁⲧⲁⲕⲣⲓⲛⲉ	ⲕⲁⲧⲁ|ⲕⲣⲓⲛⲉ
ⲉⲧϩⲟⲗϭ	ⲉⲧ|ϩⲟⲗϭ	ⲉ|ⲧ|ϩⲟⲗϭ
ⲙⲙⲟⲟⲩ	ⲙⲙⲟ|ⲟⲩ	ⲙ|ⲙⲟⲟⲩ
ⲙⲡⲣⲧⲣⲉⲗⲁⲁⲩ	ⲙⲡⲣⲧⲣⲉ|ⲗⲁⲁⲩ	ⲙⲡⲣ|ⲧⲣⲉ|ⲗⲁⲁⲩ
ϩⲁⲡⲁⲝ	ϩⲁⲡⲁⲝ	ϩⲁ|ⲡⲁⲝ
ⲛⲛϭⲓⲛⲟⲩⲟⲟⲙ	ⲛ|ⲛ|ϭⲓⲛⲟⲩⲟⲟⲙ	ⲛ|ⲛϭⲓ|ⲛ|ⲟⲩⲟⲟⲙ
ⲛⲁⲛⲟⲩ	ⲛⲁ|ⲛⲟⲩ	ⲛⲁⲛⲟⲩ
ⲉⲥⲏⲡ	ⲉⲥⲏⲡ	ⲉ|ⲥ|ⲏⲡ
ⲉⲡⲉⲧⲏⲣϥ	ⲉ|ⲡ|ⲉ|ⲧⲏⲣ|ϥ	ⲉ|ⲡⲉ|ⲧⲏⲣ|ϥ
ⲉⲁⲩⲧⲁⲁϥ	ⲉ|ⲁⲩ|ⲧⲁⲁ|ϥ	ⲉ|ⲁ|ⲩ|ⲧⲁⲁ|ϥ
ⲛⲥⲱⲣⲙ	ⲛ|ⲥⲱⲣⲙ	ⲛ|ⲥ|ⲱⲣⲙ
ϣⲁϩⲣⲁⲓ	ϣⲁϩⲣⲁⲓ	ϣⲁ|ϩⲣⲁⲓ
ⲛϩⲧⲏϥ	ⲛ|ϩⲧⲏ|ϥ	ⲛϩⲧⲏ|ϥ
ⲟⲩⲉⲓⲛⲉ	ⲟⲩⲉⲓⲛⲉ	ⲟⲩ|ⲉⲓⲛⲉ
ϣⲁⲃⲟⲗ	ϣⲁⲃⲟⲗ	ϣⲁ|ⲃⲟⲗ
ⲛⲉⲧⲛⲙⲉⲉⲩⲉ	ⲛ|ⲉⲧ|ⲛ|ⲙⲉⲉⲩⲉ	ⲛⲉⲧⲛ|ⲙⲉⲉⲩⲉ
