ⲙⲡⲉⲕⲥⲱⲧⲙ	ⲙⲡⲉ|ⲕ|ⲥⲱⲧⲙ	ⲙ|ⲡⲉⲕ|ⲥⲱⲧⲙ
ⲛⲥⲁⲥⲁ	ⲛⲥⲁ|ⲥⲁ	ⲛ|ⲥⲁⲥⲁ	ⲛ|ⲥⲁ|ⲥⲁ
ⲛⲧⲉϥⲙⲛⲧϣⲁⲛϩⲧⲏϥ	ⲛ|ⲧⲉϥ|ⲙⲛⲧϣⲁⲛϩⲧⲏ|ϥ	ⲛ|ⲧⲉϥ|ⲙⲛⲧϣⲁⲛϩⲧⲏϥ
ⲛⲧⲁⲡⲥⲱⲧⲏⲣ	ⲛⲧ|ⲁ|ⲡ|ⲥⲱⲧⲏⲣ	ⲛ|ⲧⲁ|ⲡ|ⲥⲱⲧⲏⲣ
ⲕⲱⲧⲉ	ⲕⲱⲧⲉ	ⲕⲱⲧ|ⲉ
ⲛⲛⲟⲉⲓⲕ	ⲛ|ⲛⲟⲉⲓⲕ	ⲛ|ⲛ|ⲟⲉⲓⲕ
ϩⲓⲱⲱⲧⲉ	ϩⲓⲱⲱ|ⲧⲉ	ϩⲓⲱⲱⲧ|ⲉ
ⲙⲡⲣⲕⲁⲁϥ	ⲙⲡⲣ|ⲕⲁⲁ|ϥ	ⲙⲡ|ⲣ|ⲕⲁⲁ|ϥ
ⲛⲟⲩ	ⲛ|ⲟⲩ	ⲛⲟⲩ
ⲛⲧⲉⲧⲛϣⲗⲏⲗ	ⲛ|ⲧⲉⲧⲛ|ϣⲗⲏⲗ	ⲛⲧⲉⲧⲛ|ϣⲗⲏⲗ
ⲛⲧⲉⲩⲛⲟⲩ	ⲛ|ⲧⲉ|ⲩⲛⲟⲩ	ⲛⲧⲉⲩⲛⲟⲩ
ϩⲱⲱⲥ	ϩⲱⲱ|ⲥ	ϩⲱⲱⲥ
ⲉⲧⲃⲏⲧ	ⲉⲧⲃⲏ|ⲧ	ⲉⲧ|ⲃⲏⲧ
ⲧⲉϩⲉ	ⲧⲉ|ϩⲉ	ⲧ|ⲉϩⲉ
ⲉϣϣⲉ	ⲉϣϣⲉ	ⲉ|ϣϣⲉ
ⲉⲡⲧⲏⲣϥ	ⲉ|ⲡ|ⲧⲏⲣϥ	ⲉ|ⲡ|ⲧⲏⲣ|ϥ
ⲛⲉⲓϣⲁϫⲉ	ⲛⲉⲓ|ϣⲁϫⲉ	ⲛⲉ|ⲓ|ϣⲁϫⲉ
ⲙⲡⲏⲩⲉ	ⲙ|ⲡⲏⲩⲉ	ⲙ|ⲡ|ⲏⲩⲉ
ⲛⲧⲃⲱ	ⲛ|ⲧⲃⲱ	ⲛ|ⲧ|ⲃⲱ
ⲡⲁⲡⲛⲟⲩⲧⲉ	ⲡⲁ|ⲡ|ⲛⲟⲩⲧⲉ	ⲡⲁⲡⲛⲟⲩⲧⲉ
ⲙⲡⲉⲓⲛⲁⲩ	ⲙ|ⲡⲉⲓ|ⲛⲁⲩ	ⲙⲡ|ⲉⲓ|ⲛⲁⲩ
ⲛⲉⲥϣⲟⲟⲡ	ⲛ|ⲉ|ⲥ|ϣⲟⲟⲡ	ⲛⲉ|ⲥ|ϣⲟⲟⲡ
ϥⲛⲁⲁⲁⲩ	ϥ|ⲛⲁ|ⲁⲁ|ⲩ	ϥ|ⲛⲁ|ⲁ|ⲁⲩ
ⲛⲥⲱⲧⲡ	ⲛ|ⲥⲱⲧⲡ	ⲛ|ⲥ|ⲱⲧⲡ
ⲛⲁⲡⲣⲏⲧⲉ	ⲛ|ⲁⲡⲣⲏⲧⲉ	ⲛⲁ|ⲡ|ⲣⲏⲧⲉ
ⲛⲧⲁⲡⲉⲛⲥⲱⲧⲏⲣ	ⲛⲧ|ⲁ|ⲡⲉⲛ|ⲥⲱⲧⲏⲣ	ⲛ|ⲧⲁ|ⲡⲉⲛ|ⲥⲱⲧⲏⲣ
ⲡⲉⲛⲛⲟⲩⲧⲉ	ⲡⲉⲛ|ⲛⲟⲩⲧⲉ	ⲡⲉ|ⲛ|ⲛⲟⲩⲧⲉ
ϯⲧⲕⲁⲥ	ϯⲧⲕⲁⲥ	ϯ|ⲧⲕⲁⲥ
ⲙⲡⲟⲩⲣⲡⲙⲉⲉⲩⲉ	ⲙⲡ|ⲟⲩ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ	ⲙⲡ|ⲟⲩ|ⲣⲡⲙⲉⲉⲩⲉ
ⲉⲩⲛⲟϭ	ⲉ|ⲩ|ⲛⲟϭ	ⲉⲩ|ⲛⲟϭ
ⲛⲥϯⲛⲟⲩϥⲉ	ⲛ|ⲥϯⲛⲟⲩϥⲉ	ⲛ|ⲥ|ϯⲛⲟⲩϥⲉ
ⲡⲣⲟⲥⲟⲩⲟⲉⲓϣ	ⲡⲣⲟⲥ|ⲟⲩⲟⲉⲓϣ	ⲡⲣⲟⲥⲟⲩⲟⲉⲓϣ
ⲛⲅⲣϩⲧⲏⲕ	ⲛ|ⲅ|ⲣϩⲧⲏⲕ	ⲛ|ⲅ|ⲣϩⲧⲏ|ⲕ
ⲉⲧⲣ	ⲉ|ⲧⲣ	ⲉ|ⲧ|ⲣ
ϫⲉϯϩⲧⲏⲕ	ϫⲉ|ϯϩⲧⲏ|ⲕ	ϫⲉ|ϯ|ϩⲧⲏ|ⲕ
ⲁϥϫⲓϣⲕⲁⲕ	ⲁ|ϥ|ϫⲓϣⲕⲁⲕ	ⲁ|ϥ|ϫⲓ|ϣⲕⲁⲕ
ⲙⲡⲉϥⲣⲡⲙⲉⲉⲩⲉ	ⲙⲡⲉ|ϥ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ	ⲙ|ⲡⲉϥ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ	ⲙ|ⲡⲉϥ|ⲣⲡⲙⲉⲉⲩⲉ
ⲛⲁϥ	ⲛⲁ|ϥ	ⲛ|ⲁϥ
ⲉⲧⲟⲟⲧⲟⲩ	ⲉⲧⲟⲟⲧ|ⲟⲩ	ⲉ|ⲧⲟⲟⲧ|ⲟⲩ
ⲉϫⲱⲟⲩ	ⲉϫⲱ|ⲟⲩ	ⲉ|ϫⲱ|ⲟⲩ
ⲉⲣⲁⲧϥ	ⲉⲣⲁⲧ|ϥ	ⲉ|ⲣⲁⲧ|ϥ
ⲛϫⲱⲕ	ⲛ|ϫⲱⲕ	ⲛ|ϫⲱ|ⲕ
ϫⲉⲛ	ϫⲉ|ⲛ	ϫⲉⲛ
ⲛⲧⲁⲩϫⲟⲟⲩ	ⲛⲧ|ⲁ|ⲩ|ϫⲟⲟ|ⲩ	ⲛⲧ|ⲁ|ⲩ|ϫⲟ|ⲟⲩ
ⲛⲕⲱϩⲧ	ⲛ|ⲕⲱϩⲧ	ⲛ|ⲕ|ⲱϩⲧ
ⲛⲥⲉⲣϩⲟⲧⲉ	ⲛ|ⲥ|ⲉⲣϩⲟⲧⲉ	ⲛ|ⲥⲉ|ⲣϩⲟⲧⲉ
ⲛⲙⲡϣⲁ	ⲛ|ⲙⲡϣⲁ	ⲛⲙ|ⲡ|ϣⲁ
ⲙⲡⲣⲡⲙⲉⲉⲩⲉ	ⲙ|ⲡ|ⲣⲡⲙⲉⲉⲩⲉ	ⲙⲡⲣ|ⲡ|ⲙⲉⲉⲩⲉ
ϯϩⲁⲡ	ϯϩⲁⲡ	ϯ|ϩⲁⲡ
ⲛⲥⲙⲟⲩ	ⲛ|ⲥⲙⲟⲩ	ⲛ|ⲥ|ⲙⲟⲩ
ⲛⲧⲁⲛⲉⲛⲉⲓⲟⲟⲧⲉ	ⲛⲧ|ⲁ|ⲛⲉⲛ|ⲉⲓⲟⲟⲧⲉ	ⲛ|ⲧⲁ|ⲛⲉⲛ|ⲉⲓⲟⲟⲧⲉ
ⲙⲡⲁⲣⲡⲙⲉⲉⲩⲉ	ⲙ|ⲡⲁ|ⲣⲡⲙⲉⲉⲩⲉ	ⲙ|ⲡⲁ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ
ϩⲓⲧⲟⲟⲧ	ϩⲓⲧⲟⲟⲧ	ϩⲓ|ⲧⲟⲟⲧ
ⲛⲛⲁϩⲣⲛ	ⲛⲛⲁϩⲣⲛ	ⲛ|ⲛⲁϩⲣⲛ
ⲟⲩϭⲁⲥ	ⲟⲩ|ϭⲁⲥ	ⲟⲩϭⲁⲥ
ⲉⲧⲉⲥⲟⲩⲙⲛⲧϣⲟⲙⲧⲉ	ⲉⲧⲉ|ⲥⲟⲩ|ⲙⲛⲧϣⲟⲙⲧⲉ	ⲉⲧⲉ|ⲥ|ⲟⲩ|ⲙⲛⲧϣⲟⲙⲧⲉ
ϩⲁⲣⲁⲧϥ	ϩⲁⲣⲁⲧ|ϥ	ϩⲁ|ⲣⲁⲧ|ϥ
ⲉⲡⲛⲁⲩ	ⲉⲡ|ⲛⲁ|ⲩ	ⲉ|ⲡ|ⲛⲁⲩ
ϯⲟⲥⲉ	ϯⲟⲥⲉ	ϯ|ⲟⲥⲉ
ⲛϫⲡϣⲟⲙⲧⲉ	ⲛ|ϫⲡ|ϣⲟⲙⲧⲉ	ⲛ|ϫⲡϣⲟⲙⲧⲉ
ⲉⲉⲓ	ⲉ|ⲉⲓ	ⲉⲉⲓ
ⲛⲕⲟ	ⲛ|ⲕ|ⲟ	ⲛ|ⲕⲟ
ⲛⲉⲓ	ⲛ|ⲉⲓ	ⲛⲉⲓ
ⲉⲧⲉⲕⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ	ⲉ|ⲧⲉⲕ|ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ	ⲉ|ⲧ|ⲉⲕⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ
ⲛϫⲡⲥⲟ	ⲛ|ϫⲡ|ⲥⲟ	ⲛ|ϫⲡⲥⲟ
ⲉⲛⲁϣⲱⲥ	ⲉ|ⲛⲁϣⲱ|ⲥ	ⲉ|ⲛⲁ|ϣⲱⲥ
ⲕⲁⲁⲧ	ⲕⲁⲁ|ⲧ	ⲕⲁⲁⲧ
ⲛⲁⲛⲁϣ	ⲛ|ⲁⲛⲁϣ	ⲛⲁ|ⲛ|ⲁϣ
ⲛⲟⲩϣⲏ	ⲛ|ⲟⲩϣⲏ	ⲛ|ⲟⲩ|ϣⲏ
ⲉⲛⲉϥⲟⲩⲱϣ	ⲉ|ⲛⲉϥ|ⲟⲩⲱϣ	ⲉ|ⲛⲉ|ϥ|ⲟⲩⲱϣ
ⲉⲛⲧϥ	ⲉ|ⲛⲧ|ϥ	ⲉⲛⲧ|ϥ
ⲛⲥⲟⲩⲛⲡⲡⲉⲧⲛⲁⲛⲟⲩϥ	ⲛ|ⲥⲟⲩⲛ|ⲡ|ⲡⲉⲧⲛⲁⲛⲟⲩ|ϥ	ⲛ|ⲥⲟⲩⲛ|ⲡ|ⲡⲉⲧⲛⲁⲛⲟⲩϥ
ⲙⲛⲛⲉⲧ	ⲙⲛ|ⲛⲉⲧ	ⲙⲛ|ⲛ|ⲉⲧ
ϩⲛⲟⲩϯϩⲧⲏϥ	ϩⲛ|ⲟⲩ|ϯϩⲧⲏ|ϥ	ϩⲛ|ⲟⲩ|ϯϩⲧⲏϥ
ⲉⲧϥⲱϭⲉ	ⲉⲧ|ϥⲱϭⲉ	ⲉ|ⲧ|ϥⲱϭⲉ
ⲛϯⲁⲏⲥ	ⲛ|ϯ|ⲁⲏⲥ	ⲛ|ϯⲁⲏⲥ
ⲛⲛⲉⲛⲧⲁϥϫⲟⲟⲩ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ϥ|ϫⲟ|ⲟⲩ	ⲛ|ⲛⲉ|ⲛⲧ|ⲁ|ϥ|ϫⲟ|ⲟⲩ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ϥ|ϫⲟⲟ|ⲩ
ⲛⲕⲁⲧⲁⲗⲁⲗⲓⲁ	ⲛ|ⲕⲁⲧⲁⲗⲁⲗⲓⲁ	ⲛ|ⲕⲁ|ⲧ|ⲁⲗⲁⲗⲓⲁ
ⲉⲣⲟⲓ	ⲉⲣⲟ|ⲓ	ⲉⲣⲟⲓ
ⲧⲛⲛⲟⲟⲩⲥⲟⲩ	ⲧⲛⲛⲟⲟⲩⲥ|ⲟⲩ	ⲧⲛⲛⲟⲟⲩ|ⲥⲟⲩ	ⲧⲛⲛⲟⲟⲩ|ⲥⲟ|ⲩ
ⲉⲧⲉⲧⲛϣⲁⲛⲃⲱⲕ	ⲉ|ⲧⲉⲧⲛ|ϣⲁⲛⲃⲱⲕ	ⲉⲧⲉⲧⲛϣⲁⲛ|ⲃⲱⲕ
ϯϩⲧⲏⲧⲛ	ϯ|ϩⲧⲏ|ⲧⲛ	ϯϩⲧⲏ|ⲧⲛ
ⲛⲧⲟⲟⲩ	ⲛⲧⲟⲟⲩ	ⲛ|ⲧⲟⲟⲩ
ⲉⲧⲣⲉϥⲕⲁⲁⲧ	ⲉ|ⲧⲣⲉ|ϥ|ⲕⲁⲁ|ⲧ	ⲉ|ⲧⲣⲉϥ|ⲕⲁⲁ|ⲧ
ⲛⲧⲁⲩ	ⲛⲧⲁ|ⲩ	ⲛ|ⲧⲁ|ⲩ
ⲛⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ	ⲛ|ⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ	ⲛ|ⲣⲉϥϣⲙϣⲉ|ⲉⲓⲇⲱⲗⲟⲛ
ⲉⲛⲛⲁⲉⲓⲙⲉ	ⲉ|ⲛ|ⲛⲁ|ⲉⲓⲙⲉ	ⲉⲛⲛⲁ|ⲉⲓⲙⲉ	ⲉⲛⲛ|ⲁ|ⲉⲓⲙⲉ
ⲛⲛⲁϩⲏⲧ	ⲛ|ⲛⲁϩⲏⲧ	ⲛ|ⲛ|ⲁϩⲏⲧ
ϫⲟⲟⲥ	ϫⲟⲟ|ⲥ	ϫⲟⲟⲥ
ⲛⲅϫⲟⲟⲥ	ⲛ|ⲅ|ϫⲟⲟ|ⲥ	ⲛ|ⲅ|ϫⲟⲟⲥ
ⲙⲡⲣϫⲟⲟⲥ	ⲙⲡⲣ|ϫⲟⲟ|ⲥ	ⲙⲡⲣ|ϫⲟⲟⲥ
ϩⲱⲟⲩ	ϩⲱ|ⲟⲩ	ϩⲱⲟⲩ
ⲉϯ	ⲉ|ϯ	ⲉϯ
ϫⲉⲧⲉⲓⲣⲏⲛⲏ	ϫⲉ|ⲧ|ⲉⲓⲣⲏⲛⲏ	ϫⲉ|ⲧⲉⲓⲣⲏⲛⲏ
ⲛⲉⲕⲃⲁⲗ	ⲛⲉⲕ|ⲃⲁⲗ	ⲛⲉ|ⲕ|ⲃⲁⲗ
ⲛⲁϣⲥⲉⲧⲟⲩⲥⲟⲛ	ⲛⲁ|ϣ|ⲥⲉⲧ|ⲟⲩ|ⲥⲟⲛ	ⲛⲁ|ϣⲥⲉⲧ|ⲟⲩ|ⲥⲟⲛ
ⲛⲧⲛϩⲁⲣⲉϩ	ⲛ|ⲧⲛ|ϩⲁⲣⲉϩ	ⲛⲧⲛ|ϩⲁⲣⲉϩ
ⲛⲟⲩⲟⲓ	ⲛ|ⲟⲩⲟⲓ	ⲛ|ⲟⲩ|ⲟⲓ
ϫⲓⲛϫⲱϥ	ϫⲓⲛ|ϫⲱ|ϥ	ϫⲓⲛ|ϫⲱϥ
ⲛⲧⲁϫⲣⲟ	ⲛ|ⲧⲁϫⲣⲟ	ⲛ|ⲧⲁ|ϫⲣⲟ
ⲉⲥⲣⲁⲛⲁϥ	ⲉ|ⲥ|ⲣⲁⲛⲁ|ϥ	ⲉ|ⲥ|ⲣ|ⲁⲛⲁ|ϥ
ϣⲁϫⲱϥ	ϣⲁ|ϫⲱϥ	ϣⲁ|ϫⲱ|ϥ
ϯⲕⲁⲣⲡⲟⲥ	ϯⲕⲁⲣⲡⲟⲥ	ϯ|ⲕⲁⲣⲡⲟⲥ
ⲛⲉϣϣⲉ	ⲛ|ⲉϣϣⲉ	ⲛⲉ|ϣϣⲉ
ϩⲙⲡⲉϩⲟⲟⲩ	ϩⲙ|ⲡⲉ|ϩⲟⲟⲩ	ϩⲙ|ⲡ|ⲉϩⲟⲟⲩ
⁛—	⁛—	⁛|—
··	·|·	··
ϫⲉⲁⲩⲉⲓⲥ	ϫⲉ|ⲁⲩⲉⲓⲥ	ϫⲉ|ⲁⲩⲉⲓ|ⲥ
ⲛⲧⲉⲓⲣⲏⲛⲏ	ⲛ|ⲧⲉⲓⲣⲏⲛⲏ	ⲛ|ⲧ|ⲉⲓⲣⲏⲛⲏ
ⲛⲛⲉⲩⲛⲟⲃⲉ	ⲛ|ⲛⲉⲩ|ⲛⲟⲃⲉ	ⲛⲛⲉ|ⲩ|ⲛⲟⲃⲉ
ⲉⲕⲟ	ⲉ|ⲕ|ⲟ	ⲉ|ⲕⲟ
ⲉⲛⲉⲩ	ⲉ|ⲛ|ⲉⲩ	ⲉ|ⲛⲉⲩ
ⲛⲛⲉⲕϣⲛϩⲧⲏⲕ	ⲛ|ⲛⲉⲕ|ϣⲛϩⲧⲏ|ⲕ	ⲛⲛⲉ|ⲕ|ϣⲛ|ϩⲧⲏ|ⲕ
ⲙⲡⲉϥⲣⲁⲥⲧⲉ	ⲙ|ⲡⲉϥ|ⲣⲁⲥⲧⲉ	ⲙⲡⲉ|ϥ|ⲣⲁⲥⲧⲉ
ⲁⲩⲕⲁⲁϥ	ⲁ|ⲩ|ⲕⲁⲁ|ϥ	ⲁⲩ|ⲕⲁⲁ|ϥ
ⲉⲧⲟⲩϩⲁⲣⲉϩ	ⲉ|ⲧⲟⲩ|ϩⲁⲣⲉϩ	ⲉⲧ|ⲟⲩ|ϩⲁⲣⲉϩ
ⲫⲁⲅⲓⲟⲥ	ⲫⲁⲅⲓⲟⲥ	ⲫ|ⲁⲅⲓⲟⲥ
ⲁϥϫⲓⲧ	ⲁ|ϥ|ϫⲓⲧ	ⲁ|ϥ|ϫⲓ|ⲧ
ⲙⲡⲉⲩⲣⲡⲙⲉⲉⲩⲉ	ⲙⲡⲉ|ⲩ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ	ⲙ|ⲡⲉⲩ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ
ⲁⲩϯⲡⲏ	ⲁⲩ|ϯⲡⲏ	ⲁ|ⲩ|ϯⲡⲏ
ⲉϥⲧⲁⲩⲉⲥϩⲃⲏⲏⲧⲉ	ⲉ|ϥ|ⲧⲁⲩⲉⲥϩⲃⲏⲏⲧⲉ	ⲉ|ϥ|ⲧⲁⲩⲉ|ⲥϩⲃⲏⲏⲧⲉ
ⲉϩⲟⲩ	ⲉϩⲟⲩ	ⲉ|ϩⲟ|ⲩ
ⲛⲟⲩⲟⲉⲓϣ	ⲛ|ⲟⲩⲟⲉⲓϣ	ⲛ|ⲟⲩ|ⲟⲉⲓϣ
ⲛⲥⲉⲣⲙⲛⲧⲣⲉ	ⲛⲥⲉ|ⲣⲙⲛⲧⲣⲉ	ⲛ|ⲥⲉ|ⲣⲙⲛⲧⲣⲉ
ⲙⲡⲃⲱⲗ	ⲙ|ⲡ|ⲃⲱⲗ	ⲙ|ⲡⲃⲱⲗ
ⲛⲟϫⲕ	ⲛⲟϫ|ⲕ	ⲛⲟϫⲕ
ⲉⲕⲃⲏⲗ	ⲉ|ⲕ|ⲃⲏⲗ	ⲉ|ⲕⲃⲏⲗ
ⲛϥⲧⲁⲁⲕ	ⲛ|ϥ|ⲧⲁⲁⲕ	ⲛ|ϥ|ⲧⲁⲁ|ⲕ
ⲙⲡⲉⲣϩⲟⲧⲉ	ⲙⲡⲉ|ⲣϩⲟⲧⲉ	ⲙⲡ|ⲉ|ⲣϩⲟⲧⲉ
ⲛⲛⲉⲧⲉⲧⲛⲛⲁϭⲛⲟⲩⲛⲁ	ⲛ|ⲛ|ⲉ|ⲧⲉⲧⲛ|ⲛⲁ|ϭⲛ|ⲟⲩ|ⲛⲁ	ⲛⲛⲉ|ⲧⲉⲧⲛ|ⲛⲁ|ϭⲛ|ⲟⲩ|ⲛⲁ
ⲛⲕⲉⲡⲉⲧⲟⲩⲁⲁⲃ	ⲛ|ⲕⲉ|ⲡⲉⲧⲟⲩⲁⲁⲃ	ⲛ|ⲕⲉ|ⲡ|ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲙⲛⲛⲉϥⲡⲉⲧⲟⲩⲁⲁⲃ	ⲙⲛ|ⲛⲉϥ|ⲡⲉⲧⲟⲩⲁⲁⲃ	ⲙⲛ|ⲛⲉϥ|ⲡ|ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲛⲛⲉⲕϭⲓϫ	ⲛ|ⲛⲉⲕ|ϭⲓϫ	ⲛ|ⲛⲉ|ⲕ|ϭⲓϫ
ⲉⲡⲉϣⲧⲉⲕⲟ	ⲉ|ⲡⲉ|ϣⲧⲉⲕⲟ	ⲉ|ⲡ|ⲉϣⲧⲉⲕⲟ
ϫⲉⲛⲧⲁⲛⲁⲓ	ϫⲉ|ⲛⲧ|ⲁ|ⲛⲁⲓ	ϫⲉ|ⲛⲧⲁ|ⲛⲁⲓ	ϫⲉ|ⲛ|ⲧ|ⲁⲛⲁⲓ
ϣⲛϩⲧⲏϥ	ϣⲛ|ϩⲧⲏ|ϥ	ϣⲛϩⲧⲏ|ϥ
ⲉⲧⲃⲉⲧⲁϣⲉ	ⲉⲧⲃⲉ|ⲧ|ⲁϣⲉ	ⲉⲧⲃⲉ|ⲧⲁϣⲉ
ⲉⲧⲉϣⲁⲓⲧⲱⲟⲩⲛ	ⲉ|ⲧⲉ|ϣⲁ|ⲓ|ⲧⲱⲟⲩⲛ	ⲉⲧⲉ|ϣⲁ|ⲓ|ⲧⲱⲟⲩⲛ
ⲛⲉⲧⲛϣⲁϫⲉ	ⲛⲉⲧⲛ|ϣⲁϫⲉ	ⲛ|ⲉⲧ|ⲛ|ϣⲁϫⲉ
ⲛⲛⲉⲧⲙⲉ	ⲛ|ⲛ|ⲉⲧ|ⲙⲉ	ⲛ|ⲛⲉ|ⲧ|ⲙⲉ
ⲉϫⲱϥ	ⲉϫⲱ|ϥ	ⲉ|ϫⲱ|ϥ
ⲉⲛⲁⲛⲟⲩϥ	ⲉ|ⲛⲁⲛⲟⲩ|ϥ	ⲉ|ⲛⲁ|ⲛⲟⲩϥ
ϫⲓⲛⲙⲡⲟⲟⲩ	ϫⲓⲛ|ⲙ|ⲡ|ⲟⲟⲩ	ϫⲓⲛ|ⲙ|ⲡⲟⲟⲩ
ϫⲓⲛϫⲡϣⲟⲙⲧⲉ	ϫⲓⲛ|ϫⲡϣⲟⲙⲧⲉ	ϫⲓ|ⲛ|ϫⲡ|ϣⲟⲙⲧⲉ
ⲛⲧⲉⲧⲛϯⲉⲟⲟⲩ	ⲛ|ⲧⲉⲧⲛ|ϯⲉⲟⲟⲩ	ⲛⲧⲉⲧⲛ|ϯⲉⲟⲟⲩ
ϯϩⲓⲥⲉ	ϯϩⲓⲥⲉ	ϯ|ϩⲓⲥⲉ
ⲛⲉⲧⲉⲣⲉⲡⲉⲩϩⲏⲧ	ⲛ|ⲉⲧⲉⲣⲉ|ⲡⲉⲩ|ϩⲏⲧ	ⲛ|ⲉⲧ|ⲉⲣⲉ|ⲡⲉⲩ|ϩⲏⲧ
ⲛⲧⲁⲡⲥⲟⲫⲟⲥ	ⲛⲧ|ⲁ|ⲡ|ⲥⲟⲫⲟⲥ	ⲛ|ⲧⲁ|ⲡ|ⲥⲟⲫⲟⲥ
ⲙⲡⲉⲓϣⲁϫⲉ	ⲙ|ⲡⲉⲓ|ϣⲁϫⲉ	ⲙⲡⲉ|ⲓ|ϣⲁϫⲉ
ⲛⲥⲛⲏⲩ	ⲛ|ⲥⲛⲏⲩ	ⲛ|ⲥ|ⲛⲏⲩ
ⲛⲥⲉⲙⲛⲟⲛ	ⲛ|ⲥⲉⲙⲛⲟⲛ	ⲛⲥⲉ|ⲙⲛⲟⲛ
ⲛⲁⲁⲥ	ⲛ|ⲁⲁⲥ	ⲛⲁⲁ|ⲥ
ⲁⲟⲩⲏⲣ	ⲁ|ⲟⲩⲏⲣ	ⲁⲟⲩⲏⲣ
ⲛⲧⲁⲧⲉⲕⲙⲛⲧⲉⲓⲱⲧ	ⲛⲧⲁ|ⲧⲉⲕ|ⲙⲛⲧⲉⲓⲱⲧ	ⲛ|ⲧⲁ|ⲧⲉⲕ|ⲙⲛⲧ|ⲉⲓⲱⲧ
ⲙⲡⲉϥϣⲁϫⲉ	ⲙ|ⲡⲉϥ|ϣⲁϫⲉ	ⲙⲡⲉ|ϥ|ϣⲁϫⲉ
ϫⲉⲛⲛⲁϫⲟⲟⲥ	ϫⲉ|ⲛⲛ|ⲁ|ϫⲟⲟ|ⲥ	ϫⲉ|ⲛ|ⲛⲁ|ϫⲟⲟ|ⲥ
ⲉⲧⲣⲁϫⲟⲟⲥ	ⲉ|ⲧⲣ|ⲁ|ϫⲟⲟ|ⲥ	ⲉ|ⲧⲣⲁ|ϫⲟⲟ|ⲥ
ⲁⲓϫⲟⲟⲩ	ⲁ|ⲓ|ϫⲟⲟⲩ	ⲁ|ⲓ|ϫⲟⲟ|ⲩ
ⲉⲧⲙⲙⲁⲁⲩ	ⲉⲧ|ⲙⲙⲁⲁⲩ	ⲉ|ⲧ|ⲙⲙⲁⲁⲩ
ⲧⲁⲡⲁⲣⲭⲏ	ⲧ|ⲁⲡⲁⲣⲭⲏ	ⲧⲁ|ⲡ|ⲁⲣⲭⲏ
ⲉⲁϥⲣⲟⲩⲙⲕⲁϩ	ⲉ|ⲁ|ϥ|ⲣ|ⲟⲩ|ⲙⲕⲁϩ	ⲉ|ⲁ|ϥ|ⲣⲟⲩ|ⲙⲕⲁϩ
ⲛⲉⲓⲛⲁⲁⲛⲉⲭⲉ	ⲛ|ⲉⲓ|ⲛⲁ|ⲁⲛⲉⲭⲉ	ⲛⲉ|ⲓ|ⲛⲁ|ⲁⲛⲉⲭⲉ
ⲉⲝⲱⲣⲓⲍⲉ	ⲉ|ⲝⲱⲣⲓⲍⲉ	ⲉⲝⲱⲣⲓⲍⲉ
ⲙⲁⲧⲁⲙⲟⲓ	ⲙⲁ|ⲧⲁⲙⲟ|ⲓ	ⲙⲁⲧⲁⲙⲟ|ⲓ
ϫⲉⲁϫⲉⲟⲩϣⲁϫⲉ	ϫⲉ|ⲁϫⲉ|ⲟⲩ|ϣⲁϫⲉ	ϫⲉ|ⲁ|ϫⲉ|ⲟⲩ|ϣⲁϫⲉ
ϯⲧⲟⲟⲧ	ϯ|ⲧⲟⲟⲧ	ϯⲧⲟⲟⲧ
ⲛⲉⲩⲧⲩⲭⲓⲁⲛⲟⲥ	ⲛ|ⲉⲩⲧⲩⲭⲓⲁⲛⲟⲥ	ⲛⲉ|ⲩ|ⲧⲩⲭⲓⲁⲛⲟⲥ
ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	ⲙⲙⲁ|ⲩ
ⲛϩⲏⲧⲟⲩ	ⲛϩⲏⲧ|ⲟⲩ	ⲛ|ϩⲏⲧ|ⲟⲩ
ⲙⲛⲛⲟⲃⲉ	ⲙⲛ|ⲛⲟⲃⲉ	ⲙ|ⲛ|ⲛⲟⲃⲉ
ⲉⲧⲟⲟⲧϥ	ⲉⲧⲟⲟⲧ|ϥ	ⲉ|ⲧⲟⲟⲧ|ϥ
ⲛⲏⲩ	ⲛⲏⲩ	ⲛⲏ|ⲩ
ⲉⲧⲥⲟⲟϥ	ⲉⲧ|ⲥⲟⲟ|ϥ	ⲉⲧ|ⲥⲟⲟϥ
ⲥⲱⲱϥ	ⲥⲱⲱϥ	ⲥⲱⲱ|ϥ
