ⲛ	30207
·	20074
ϥ	19309
ⲡ	17569
ⲉ	16296
ⲁ	11907
ⲟⲩ	11206
ⲙ	9933
ⲛⲁ	7431
ⲩ	7352
ϫⲉ	6681
ⲉⲧ	6505
ⲧ	6059
ⲁⲩⲱ	5813
ⲥ	5632
ⲡⲉ	4776
ⲙⲛ	4447
ϩⲛ	4286
.	4261
ⲉⲃⲟⲗ	4074
ⲕ	4038
ⲙⲙⲟ	3580
ⲓ	3516
ⲇⲉ	3099
ⲉⲣⲟ	2666
ⲛⲉ	2505
ϩⲙ	2387
ϩⲉ	2218
ⲛⲟⲩⲧⲉ	2083
ⲧⲉ	2047
ϯ	2038
ⲧⲏⲣ	1982
ⲁⲛ	1870
ⲛⲧ	1858
ϩⲉⲛ	1812
ⲧⲛ	1586
ⲛⲓⲙ	1526
ⲣⲱⲙⲉ	1513
ϣⲱⲡⲉ	1465
ⲛϭⲓ	1447
ϣⲁ	1440
ⲥⲉ	1440
·	1401
ⲡⲁ	1356
ⲧⲣⲉ	1349
ⲉⲛⲧ	1339
ⲡⲉϥ	1303
ϫⲱ	1242
ϫⲟⲉⲓⲥ	1225
ⲟⲛ	1188
ⲅⲁⲣ	1186
ⲉⲧⲃⲉ	1176
ϣⲁϫⲉ	1155
ⲉⲓ	1129
ⲛⲁⲩ	1104
ⲡⲁⲓ	1089
ⲙⲁ	1064
ⲡⲉϫⲁ	1060
ⲧⲉⲧⲛ	1027
ⲛϩⲏⲧ	1023
ⲁⲗⲗⲁ	988
ⲉϩⲟⲩⲛ	979
ⲛⲉϥ	956
ϩⲟⲟⲩ	940
ⲏ	939
ϫⲟⲟ	933
ⲙⲙⲁⲩ	931
ⲛⲁⲓ	926
ⲉϩⲣⲁⲓ	905
ⲉⲧⲉ	894
ⲡⲉⲓ	891
ϩⲏⲧ	843
ⲛⲉⲩ	834
ⲛⲟϭ	813
ⲃⲱⲕ	804
ⲟⲩⲁ	787
ϣⲏⲣⲉ	786
ⲧⲉϥ	763
ⲉⲣⲉ	750
ⲉⲓⲱⲧ	699
ⲛⲧⲉ	697
ϭⲉ	691
ⲕⲁⲧⲁ	688
ⲣ	680
ⲥⲱⲧⲙ	674
ⲕⲉ	667
ϩⲓ	666
ϫⲓ	662
ⲟⲩⲁⲁⲃ	661
ⲅ	660
ⲛⲙⲙⲁ	643
ⲡⲉⲕ	642
ⲧⲁ	624
ⲙⲩⲥⲧⲏⲣⲓⲟⲛ	581
ⲗⲁⲁⲩ	572
ⲛⲧⲉⲣⲉ	560
ⲙⲡ	558
ⲓⲏⲥⲟⲩⲥ	552
ⲧⲉⲓ	535
ⲟ	534
ⲙⲟⲩ	527
ϩⲱⲃ	525
ⲛⲥⲁ	520
ϣⲟⲟⲡ	517
ⲙⲉ	515
ⲛⲧⲟϥ	511
ⲕⲁϩ	511
ⲯⲩⲭⲏ	492
ⲥⲱⲙⲁ	492
ⲙⲡⲉ	490
ⲡⲉⲛ	484
ⲭⲣⲓⲥⲧⲟⲥ	480
ⲟⲩⲟⲉⲓⲛ	480
ⲟⲩⲛ	465
ⲥⲟⲟⲩⲛ	461
ⲡⲉⲩ	459
ⲁⲡⲁ	450
ϩⲁ	448
ϩⲱⲱ	448
ⲁⲁ	447
ⲉϫⲛ	439
ⲟⲩⲱϣ	436
ⲉⲓⲣⲉ	434
ⲱ	429
ⲧⲙ	427
ⲙⲉⲉⲩⲉ	423
ⲧⲉⲛⲟⲩ	418
ⲛⲉⲛ	417
ⲙⲡⲣ	412
ⲁⲛⲟⲕ	409
ⲉϫⲱ	408
ⲛⲟⲃⲉ	406
ⲛⲥⲱ	403
ⲛⲉⲓ	402
ⲧⲁⲓ	391
ϭⲟⲙ	390
ϫⲓⲛ	387
ϣⲟⲣⲡ	386
ⲟⲩⲇⲉ	384
ⲥϩⲓⲙⲉ	374
ⲛⲉⲕ	371
ⲟⲩⲟⲉⲓϣ	366
ⲡⲛⲉⲩⲙⲁ	364
ⲥⲟⲛ	363
ⲕⲟⲥⲙⲟⲥ	359
ⲧⲏⲩⲧⲛ	357
ⲣⲁⲛ	356
ϥⲓ	352
ⲧⲉⲕ	347
ⲉⲓⲙⲉ	340
ⲉⲣⲏⲩ	340
ϩⲓⲧⲛ	337
ⲥⲟⲡ	332
ⲧⲁⲁ	327
ⲧⲉⲩ	325
ⲧⲱⲟⲩⲛ	324
ⲛⲏ	321
ⲧⲟⲡⲟⲥ	320
ϩⲣⲁⲓ	316
ⲏⲓ	316
ⲁϣ	316
ⲉϣϫⲉ	313
ⲕⲱ	311
ϩⲃⲏⲩⲉ	308
ⲛⲧⲉⲣ	307
ϭⲓϫ	303
ⲡⲓ	290
ⲁⲅⲅⲉⲗⲟⲥ	289
