ⲉⲃⲟⲗ	866	3	0.996547756041427
ⲟⲩⲧⲉ	679	29	0.9590395480225988
·ⲁⲩⲱ	451	0	1.0
ⲣⲱⲙⲉ	398	4	0.9900497512437811
ϩⲣⲁⲓ	345	3	0.9913793103448276
ϣⲱⲡⲉ	331	9	0.9735294117647059
ϣⲁϫⲉ	301	0	1.0
ⲟⲉⲓⲥ	299	1	0.9966666666666667
.ⲁⲩⲱ	273	0	1.0
ⲏⲣⲟⲩ	262	0	1.0
ⲙⲙⲟⲥ	256	6	0.9770992366412213
ⲙⲙⲟϥ	249	0	1.0
ϫⲟⲟⲥ	248	0	1.0
ⲉⲣⲟϥ	231	0	1.0
ϩⲟⲩⲛ	241	11	0.9563492063492064
ⲁⲗⲗⲁ	228	5	0.9785407725321889
ⲙⲙⲁⲩ	203	2	0.9902439024390244
ⲙⲟⲟⲩ	225	50	0.8181818181818182
ⲥⲱⲧⲙ	176	1	0.9943502824858758
ϣⲏⲣⲉ	164	2	0.9879518072289156
ⲉϫⲁϥ	156	0	1.0
ⲛⲟⲃⲉ	154	1	0.9935483870967742
ⲗⲁⲁⲩ	146	6	0.9605263157894737
ⲩⲁⲁⲃ	140	0	1.0
ⲣⲟⲟⲩ	174	43	0.8018433179723502
ⲟⲟⲩ·	130	1	0.9923664122137404
ⲛⲧⲟϥ	129	1	0.9923076923076923
ⲉⲓⲣⲉ	126	0	1.0
ⲟⲩⲇⲉ	123	0	1.0
ⲏⲩⲧⲛ	122	1	0.991869918699187
ⲃⲏⲩⲉ	120	0	1.0
ϩⲏⲧϥ	115	1	0.9913793103448276
ⲩⲧⲉ·	111	0	1.0
ⲉⲁⲩⲱ	105	0	1.0
ⲉⲡⲁⲓ	114	10	0.9193548387096774
ⲏⲧⲏⲥ	105	1	0.9905660377358491
ϣⲟⲟⲡ	102	0	1.0
ⲥⲧⲟⲥ	97	0	1.0
ϩⲟⲟⲩ	122	32	0.7922077922077922
ϩⲗⲗⲟ	97	1	0.9897959183673469
ϩⲓⲙⲉ	96	0	1.0
ⲏⲧⲟⲩ	98	3	0.9702970297029703
ⲥⲱⲙⲁ	94	0	1.0
ⲥⲛⲁⲩ	94	1	0.9894736842105263
ϥⲛⲁⲩ	93	0	1.0
ⲉⲣⲏⲩ	94	2	0.9791666666666666
ⲥⲟⲩⲥ	92	2	0.9787234042553191
ⲙⲙⲟⲛ	91	4	0.9578947368421052
ⲧⲏⲣϥ	87	0	1.0
ϣⲟⲣⲡ	90	4	0.9574468085106383
ⲡⲕⲁϩ	88	2	0.9777777777777777
ⲟⲩⲱⲙ	85	1	0.9883720930232558
ⲉⲓⲱⲧ	84	0	1.0
ⲛⲏⲧⲛ	84	2	0.9767441860465116
ⲉⲓⲧⲉ	88	8	0.9166666666666666
ⲛⲟⲩϥ	84	4	0.9545454545454546
ⲥⲁⲩⲱ	80	0	1.0
ⲥⲛⲏⲩ	80	0	1.0
ⲟⲗⲟⲥ	80	1	0.9876543209876543
ⲉⲟⲟⲩ	79	0	1.0
ⲁⲛⲟⲕ	79	1	0.9875
ⲟⲉⲓϣ	78	0	1.0
ⲉⲉⲩⲉ	96	23	0.8067226890756303
ⲉⲛⲁⲓ	83	6	0.9325842696629213
ⲉϥϫⲱ	86	12	0.8775510204081632
