#1|orig_group	count
ⲁⲩⲁⲡⲟⲧⲁⲥⲥⲉ	2
ϫⲉϯⲛⲁⲕⲁⲁⲩ	2
ϫⲉϯⲛⲁⲧⲁⲕⲟ	2
ϫⲉⲧⲛⲛⲁⲙⲟⲩ	2
[..............]	2
ⲙ̄ⲡⲉⲓ̈ⲙⲁ⳿	2
ϫⲓⲛⲛ̄ϣⲟⲣ︤ⲡ︥`	2
ϫⲉϩⲉⲛⲙⲉⲉⲩⲉ	2
ϩⲛ̇ⲧ̇ⲙⲏⲧⲉ	2
ⲕⲛⲁϣⲱⲡⲉ	2
ϫⲉⲉⲓⲥϩⲏⲏⲧⲉ	2
ϩⲓⲧ︤ⲙ︥ⲡϫⲟⲉⲓⲥ	2
ⲛⲧⲉⲣⲉϥⲁⲙⲁϩⲧⲉ	2
ⲛ̇ϭⲓ̇ⲡϩ̇ⲗⲗⲟ	2
ⲛ̄ⲁⲛⲁⲅⲕⲁⲓⲟⲛ	2
ϩⲓϫⲛⲧϣⲱⲧⲉ	2
ϫⲉⲛ̄ⲧⲁⲥⲁⲑⲉⲧⲓ`	2
ⲛⲧⲉⲧⲛϩⲉⲛⲥⲁⲣⲕⲓⲕⲟⲥ	2
ⲙ̄ⲙⲏⲏ̄ⲛⲉ	2
ⲁⲥⲕⲏⲧⲏⲥ	2
ⲉⲡ̣ⲉϩⲟⲩⲟ	2
ⲁⲥⲛⲟⲩϫⲉ	2
ⲉⲩϣⲁⲛϫⲟⲥ	2
ⲁⲓⲃⲁⲡⲧⲓⲍⲉ	2
ϩⲓ̈ϫⲙ̄ⲡⲉⲥ̄ⳁⲟ︤ⲥ︥	2
ⲉⲓ̈ⲙⲏⲧⲓ`	2
ⲉⲩϣⲁⲛⲛⲁⲩ	2
ϩⲓⲧⲛⲧⲙⲁⲕⲉⲇⲟⲛⲓⲁ	2
ⲛⲛⲉϥϩⲃⲏⲩⲉ	2
ϫⲉⲛ̄ⲛⲉⲡⲛⲟⲩⲧⲉ	2
ⲛⲉⲓ̈ⲕⲟⲟⲩⲉ`	2
ϫⲉⲧⲡⲁⲣⲉⲙⲃⲟⲗⲏ	2
ⲁⲧⲉⲧⲛϥⲓ	2
ⲉϥⲛⲁⲣϣⲁⲩ	2
ⲙ̄ⲡⲁⲩⲗⲟⲥ`	2
ⲛ̄ⲟⲩⲡⲉⲧⲛⲁⲛⲟⲩϥ`	2
ϩⲛⲧⲉⲣⲏⲙⲟⲥ	2
ⲡⲁⲣⲁⲟⲩⲟⲛ	2
ⲛⲉⲣⲉⲓⲏⲥⲟⲩⲥ	2
ⲛⲁⲡⲁⲣⲁⲇⲓⲇⲟⲩ	2
ⲛⲛ̄ⲣⲱⲙⲉ	2
[ⲉ]ⲧⲙⲙⲁⲩ	2
ⲛⲉⲫⲁⲣⲓⲥⲥⲁⲓⲟⲥ	2
ⲙⲁⲣⲉϥⲟⲩⲱⲙ	2
ⲛⲛⲉⲧⲉⲙⲉϣϣⲉ	2
ϫⲉⲕⲁⲛϣⲏⲣⲉ	2
ⲁⲩⲁⲣⲭⲉⲓ	2
ⲡⲣⲟⲫⲏⲧⲏⲥ	2
ⲉⲩϣⲟⲕ︤ϩ︥	2
ⲉϣⲁϥϫⲱⲕ	2
ⲛⲛⲉⲧⲉⲙⲛⲧⲁⲩ	2
ⲛϭⲓⲟⲩⲭⲏⲣⲁ	2
ⲉϣⲁϥⲙⲟⲩ	2
ⲁⲩⲗⲩⲡⲉⲓ	2
ⲁⲩⲙⲏⲏϣⲉ	2
ⲉⲁⲡϫⲟⲉⲓⲥ	2
ⲁⲩⲧⲱⲟⲩⲛ	2
ⲛϭⲓⲡⲅⲉⲛⲟⲥ	2
ⲛ̄ϣ︤ⲙ︥ⲙⲟ̂	2
ⲙⲛⲓⲏⲥⲟⲩⲥ	2
ⲙ̄ⲡⲉϥⲙⲟⲛⲟⲅⲉⲛⲏⲥ	2
ⲡⲉⲧⲉⲣⲉⲡⲉϥϫⲟⲉⲓⲥ`	2
ϫⲉⲁⲩⲡⲟⲣⲛⲉⲩⲉ	2
ϩⲙⲡⲉϥⲏⲉⲓ	2
ϩⲙⲡⲉϩⲙⲟⲧ	2
ⲛⲁϣⲃⲉⲉⲣ`	2
ϯⲡⲁⲣⲁⲅⲅⲉⲓⲗⲉ	2
ⲉϫⲛⲛⲉⲛⲛⲟⲃⲉ	2
ⲛ̄ⲥⲉⲛⲟϫⲟⲩ	2
ⲉⲧⲣⲉⲩϣ̇ⲗⲏⲗ	2
ϫⲛⲉⲟⲩϩⲗⲗⲟ	2
ⲛ̄ϩⲉⲛϩⲏⲃ︤ⲥ︥	2
ⲛ̄ⲥⲉⲥⲟⲟⲩⲛ	2
ⲉⲩϩⲟⲟⲩⲧ`	2
ⲙ̄ⲡⲉⲩϩⲏⲧ	2
ⲙ̄ⲡⲁⲥⲭⲁ⳿	2
ϩⲓϫⲙⲡⲓⲉⲣⲟ	2
ⲙ̄ⲡⲅⲁⲙⲟⲥ	2
ⲛ̄ⲧⲁⲧⲁϣⲟⲟⲩ	2
ⲉⲛⲉⲛϩⲃⲏⲩⲉ	2
-	2
ϥ	2
··	2
☧	2
ⲡ	2
ⲩ	2
Ⲱ	2
ϭⲱ	2
[·]	2
ⲻ·	2
Ⲇⲉ	2
ⲏ⳿	2
ⲕⲏ	2
ⲙⲁ	2
ⲧⲱ	2
ⲙ̄ⲡⲉⲑⲟⲟⲩ	2
ⲙ̄ⲡⲉⲕⲏⲓ̈	2
ⲉⲧⲣⲉⲩⲥⲟⲧⲡ︤ⲥ︥	2
 =–.	2
ϫⲉϯ	2
ϫⲉⲱ	2
ⲙ̄ⲡⲉⲛⲓⲡⲉ	2
....	2
ⲙ̄ⲡⲉⲥⲏⲓ̈	2
ϩ︤ⲛ︥ⲛⲉⲧⲉⲛⲟⲩϥ	2
ⲛⲛⲉⲧⲉⲛⲥⲉⲥⲟⲟⲩⲛ	2
ⲉⲧⲣⲉϥϫⲱⲕ	2
ⲉⲧⲣⲁϫⲟⲟⲥ	2
[……]	2
ⲇ̣ⲉ	2
ⲁϣⲉ	2
ⲕϫⲱ	2
ⲛϫⲱ	2
ⲡϣⲁ	2
ϩⲓⲟⲩⲧⲣⲁⲡⲉⲍⲁ	2
ⲟ᷍ⲩ	2
ⲁⲁϥ	2
ⲁⲓϯ	2
ⲇⲉ`	2
ⲇⲉ̇	2
ⲉⲧϯ	2
ⲁⲁⲩ	2
ⲀⲨⲰ	2
ⲉⲑⲉ	2
ⲉⲛⲉ	2
ⲉⲥⲟ	2
ⲉⲥⲱ	2
ⲉⲧⲃ	2
ⲉⲧⲱ	2
ⲙⲉϩ	2
ⲏⲡⲉ	2
ⲟⲛ̇	2
ⲕⲉⲧ	2
ⲕⲓⲙ	2
ⲡⲏϩ	2
ⲗⲱⲧ	2
ⲙⲏⲧ	2
ⲟⲩⲕ	2
ⲡⲱⲥ	2
ⲧⲏⲣ	2
ⲧⲙⲉ	2
[ⲁⲩⲱ	2
ⲙⲛⲡⲉϥⲏⲓ̈	2
ⲙⲛⲡⲉϩⲟⲟⲩ	2
ϫⲉⲉⲓ̈ⲥϩⲏⲏⲧⲉ	2
ⲡⲉⲧⲛⲁϣⲁⲙⲁϩⲧⲉ	2
ⲙ̄ⲡⲟⲣⲛⲓⲁ	2
ⲙ̄ⲡⲣⲱⲙⲉ`	2
ⲛⲛⲉⲧⲡⲓⲥⲧⲉⲩⲉ	2
ⲙⲁⲣⲉϥⲥⲱⲧⲙ̄	2
ϫ[ⲉ]	2
ⲙ̄ⲡⲣⲟⲫⲏⲧⲏⲥ`	2
ⲙ̄ⲡⲣⲟⲫⲏⲧⲏⲥ⳿	2
ϩⲓϩⲟ	2
ϣⲏⲙⲉ	2
ϣⲏⲙ⳿	2
ϣⲓⲛⲉ	2
ϣⲟⲣⲡ	2
ϩⲓⲥⲱ	2
ϩⲓⲧⲛ	2
ϩⲛⲁⲩ	2
ϩⲛⲟⲩ	2
ϩⲟⲃⲥ	2
ϩⲟⲟⲩ	2
ϩⲟⲩⲛ	2
ϩⲱⲃⲥ	2
ϩⲱⲃ⳿	2
ϩⲱⲱⲧ	2
ϩⲱⲱ⳯	2
ϫⲉⲛⲉ	2
ϫⲉⲥⲉ	2
ϫⲓⲥⲉ	2
ϭⲟⲗⲡ	2
ϯⲛⲁⲩ	2
ϯⲟⲩⲱ	2
ϯⲥⲃⲱ	2
ⲙ̄ⲡⲉⲛⲉⲓⲱⲧ	2
ⲡϣⲟⲩⲡⲱϩ	2
ⲑⲁⲗⲁⲥⲥⲁ	2
ϩⲓϫⲛⲡⲧⲟⲟⲩ	2
ⲉⲩϩⲱⲃ︤ⲥ︥	2
ⲉⲩϫⲱⲙⲙⲟⲥ	2
ⲙⲡⲉⲧⲙⲟⲥⲧⲉ	2
ⲡⲛⲁⲍⲁⲣⲏⲛⲟⲥ	2
ⲉϯⲛⲁⲥⲟⲟϥ	2
ⲉⲙⲡⲉϣⲗⲁⲁⲩ	2
ⲛ̄ⲛⲟⲩⲟⲩⲉⲣⲏⲧⲉ	2
ⲡⲉⲧⲛⲁⲕⲧⲟϥ	2
ⲡⲉⲧⲛⲁⲛⲟⲩϥ	2
ⲡⲉⲧⲛⲁⲟⲩⲱϣ	2
ⲉⲧⲃⲉⲡϫⲓⲟⲩⲉ	2
ⲉⲧⲃⲉⲡⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	2
ⲁⲓ̈ⲧ︤ⲛ︥ⲛⲟⲟⲩϥ	2
ⲡⲉⲛⲧⲁⲩϥⲓⲧⲟⲩ	2
ⲙⲛⲛⲉⲥⲛⲏⲩ	2
ⲙⲛⲛⲉⲧⲛⲏϫ	2
ⲛ̄ϭⲓⲛⲉⲓ̈ⲥⲁϩⲟⲩ	2
ⲙ̄ⲡⲉⲧⲟⲩⲉⲓⲣⲉ	2
ⲉⲣϣⲁⲛⲗⲁⲁⲩ	2
ϩ︤ⲛ︥ⲧ︤ⲃ︥ⲃⲟ̂	2
ϣⲁⲣⲉⲛ̄ⲣⲱⲙⲉ	2
ϫⲉⲕⲁⲑⲁⲣⲟⲥ	2
ϩ︤ⲛ︥ⲟⲩⲉⲓⲣⲏⲛⲏ	2
ϫⲉϩⲉⲛⲟⲩⲟⲉⲓⲛ	2
ⲟⲩⲛ̄ϩⲉⲛϩⲃⲏⲩⲉ	2
ϫⲉⲡⲉⲭⲣⲓⲥⲧⲟⲥ	2
ⲙⲛⲛⲥⲁⲛⲁⲓ	2
ⲛ̄ϣⲉⲉⲣⲉ	2
ⲛ̄ϣⲟⲛⲧⲉ	2
ⲛⲧⲉⲧⲛⲣⲟⲉⲓⲥ	2
ⲛ̄ϩⲟⲩⲟ`	2
ϯⲛⲁⲧⲁⲙⲱⲧ︤ⲛ︥	2
ⲛ̄ϩⲏⲧ︤ⲛ	2
ⲛ̄ϫⲱⲱⲣⲉ	2
ⲛ̄ϯⲟⲩⲃⲉ	2
ⲛⲧⲉⲣⲟⲩϥⲓⲁⲧⲟⲩ	2
ⲉϣⲁⲛⲃⲱⲕ	2
ⲉϥⲥⲟⲧ︤ⲡ︥	2
ϩⲉⲛⲡⲣⲟⲇⲟⲧⲏⲥ	2
ⲛ̄ϭⲓⲡⲛⲟⲩⲧⲉ`	2
ⲉⲁϥϣⲱⲡⲉ	2
ⲉ̇ⲟⲩϫⲁⲓ̇	2
ⲉⲧ︤ⲙ︥ⲣ̄ⲛⲟⲃⲉ`	2
ⲉⲧϩⲛ̄ⲛⲉⲕⲟⲩⲉⲣⲏⲧⲉ	2
ϫⲉⲉ̇ϣⲱⲡⲉ	2
ⲙ̄ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ	2
ⲛϭⲓⲟⲩⲥϩⲓⲙⲉ	2
ⲡ︤ⲓ︦ⲏ︦ⲗ︥	2
ϫⲉⲛϯⲥⲟⲟⲩⲛ	2
ⲛ̇ⲧⲉⲣⲟⲩⲥⲱⲧⲙ̇	2
ϩⲙ̄ⲡⲉϥϩⲟ	2
ϩⲛⲛⲥⲩⲛⲁⲅⲱⲅⲏ	2
ϩⲙ̄ⲡⲛⲟⲃⲉ	2
ⲛⲉⲕϣⲁϫⲉ	2
ϩⲛⲛⲉⲩⲥⲩⲛⲁⲅⲱⲅⲏ	2
ϯⲡⲓⲥⲧⲉⲩⲉ	2
ϫⲉⲙ︤ⲛ︥ⲗⲁⲁⲩ	2
ⲛ̇ϩⲏⲧⲛ̇	2
ⲉϥⲙⲡⲃⲟⲗ	2
ⲉϥⲛⲟⲩϫⲉ	2
ϩⲙⲡⲟⲩϩⲏⲧ	2
ⲉϥⲟⲩⲱϣ`	2
ⲉϥⲟⲩⲟⲛϩ	2
ⲉϥⲣⲟⲉⲓⲥ	2
ϩⲙⲡⲛⲟⲩⲧⲉ	2
ⲉⲧⲡⲗⲁⲛⲁ`	2
ⲉⲧⲟⲟⲧ︤ⲛ︥	2
ⲉⲧⲟⲟⲧ︤ⲥ︥	2
ⲉⲧϩⲛⲁⲙⲛⲧⲉ	2
ⲛⲉⲥⲛⲁϣⲱⲡⲉ	2
ⲉⲧϩ︤ⲙ︥ⲡⲏⲓ̈	2
ⲉⲕⲉⲙⲉⲣⲉⲡϫⲟⲉⲓⲥ	2
ⲉⲧⲣⲉⲩϫⲱⲕ	2
ϩ︤ⲛ︥ⲛ̄ⲕ︤ⲗ︥ϫⲉ	2
ⲛⲥⲁⲟⲩⲙⲁⲉⲓⲛ	2
ⲉⲧⲣⲉⲗⲁⲁⲩ	2
ⲛⲣⲉϥϫⲓⲛϭⲟⲛⲥ	2
ⲇ[ⲉ]	2
ⲁϥϥⲓ	2
ⲉ̇ϯ̇	2
ⲁ̣ⲩⲱ	2
ⲁϥⲕⲁ	2
ⲁϥⲕⲱ	2
ⲉ̄ⲧⲟ	2
ⲉϥⲓ̂	2
ⲉϫⲓ̇	2
ⲉϥⲛⲁ	2
ⲉϩⲱⲧ	2
ⲉϫⲱⲓ	2
ⲉϫⲱ⳯	2
ⲛ̄ⲟⲩ	2
ⲛ̄ⲣⲟ	2
ⲛ̄ⲥⲁ	2
ⲛⲁⲙⲟⲟϣⲉ	2
ⲡϯϩⲉ	2
ⲛϣⲏⲛ	2
ⲛϥⲉⲓ	2
ⲛϥⲥⲱ	2
ⲛϩⲁⲉ	2
ⲛϩⲁⲓ	2
ⲡϩⲟϥ	2
ⲡϣⲏⲛ	2
ⲡϩⲁⲉ	2
ⲡϩⲏⲧ	2
ⲡϩⲱⲥ	2
ⲣϩⲱⲃ	2
ⲧϭⲟⲙ	2
ⲛⲁⲛⲟⲩⲟⲩ	2
ⲙⲛⲡⲟⲣⲛⲟⲥ	2
ⲧⲉⲧⲛⲉⲓⲣⲉ	2
ⲛⲁⲟⲩⲱⲛϩ	2
ⲡⲡⲁⲛⲧⲟⲕⲣⲁⲧⲱⲣ	2
ⲁⲩ[ⲱ	2
ⲁⲛϫⲓ	2
ⲁⲥϩⲉ	2
ⲉⲓ̇ⲥ	2
ⲉⲕϫⲱ	2
ⲉⲧϩⲏ	2
ⲉⲧϫⲓ	2
Ⲁⲛⲟⲛ	2
ⲁⲙⲟⲩ	2
ⲁⲛⲟ⳯	2
ⲁⲩⲱ̄	2
ⲁⲟⲩⲁ	2
ⲁⲡⲣⲏ	2
ⲁⲩⲏⲧ	2
ⲁⲩⲥⲓ	2
ⲃⲃⲓⲣ	2
ⲃⲱⲕ⳿	2
ⲅⲁⲣ⳿	2
Ⲉⲓⲧⲁ	2
ⲉⲛⲟ̂	2
ⲉⲛⲱϣ	2
ⲉⲓⲱⲧ	2
ⲉⲙⲙⲁ	2
ⲉⲛⲑⲉ	2
ⲉⲧⲱϣ	2
ⲉⲧⲱϥ	2
ⲉⲩⲟ̂	2
ⲉⲩⲟϣ	2
ⲉⲟⲩⲕ	2
ⲉⲡⲏⲓ	2
ⲉⲱⲛϩ	2
ⲙⲡϣⲱ	2
ⲛⲁϣⲉ	2
ⲛⲱϩⲉ	2
Ⲕⲁⲓ̂	2
Ⲕⲁⲓ̄	2
ⲕⲁⲁⲩ	2
ⲕⲁⲛ⳿	2
Ⲡⲉϫⲉ	2
ⲙⲁⲁⲃ	2
ⲙⲁⲁⲩ	2
ⲙⲕⲁϩ	2
ⲙⲟⲕϩ	2
ⲙⲟⲩϩ	2
ⲣⲱϣⲉ	2
ⲙⲙⲟⲩ	2
ⲛⲁⲛ`	2
ⲛⲁⲥ`	2
ⲥⲟϣϥ	2
ⲛⲁⲕ⳿	2
ⲛⲃⲱⲕ	2
ⲛⲅⲉⲓ	2
ⲛⲕⲁϩ	2
ⲛⲕⲱϩ	2
ⲛⲛⲟϭ	2
ⲛⲕⲟⲧ	2
ⲥⲱϣⲉ	2
ⲛⲗⲱⲧ	2
ⲛⲙⲛⲁ	2
ⲛⲛⲏⲓ	2
ⲛⲥⲱϣ	2
ⲛⲟⲃⲉ	2
ⲛⲟⲓⲕ	2
ⲛⲟⲩⲉ	2
ⲛⲥⲃⲱ	2
ⲛⲥⲱⲓ	2
ⲛⲱⲛϩ	2
ⲛⲧⲃⲱ	2
ⲧⲱϭⲉ	2
ⲟⲉⲓⲕ	2
Ⲟⲩⲧⲉ	2
ⲟⲩⲱϣ	2
ⲟⲩⲃⲉ	2
ⲟⲩⲱⲙ	2
ⲡⲁⲓ̄	2
ⲡⲁⲣⲁ	2
ⲡⲉⲣⲟ	2
ⲡⲓⲱⲧ	2
ⲡⲙⲟⲩ	2
ⲡⲥⲁϩ	2
ⲡⲣⲁⲛ	2
ⲡⲣⲡⲉ	2
ⲡⲧⲏⲩ	2
ⲣⲣⲓⲣ	2
ⲥⲱⲱϥ	2
ⲥⲱⲛⲉ	2
ⲧⲁⲁⲩ	2
ⲛⲁⲧⲁⲕⲟϥ	2
ⲛⲉⲛⲧⲁϥⲁⲁⲩ	2
ⲛⲁⲧⲥⲱⲧⲙ	2
ⲛⲁⲧⲧⲁⲕⲟ	2
ⲡⲉⲧⲣⲉⲩⲛⲁⲩ	2
ϣⲁⲡⲉⲓⲙⲁ	2
ϩⲙ̄ⲡⲉⲧⲛⲁⲛⲟⲩϥ	2
ⲉϩⲉⲛⲡⲁϣ	2
ⲉϩⲉⲛⲱⲛⲉ	2
ⲛⲧⲁⲥϣⲱⲡⲉ	2
ⲙ̄ⲡⲟⲩϫⲁⲓ̈	2
ⲛⲧⲁⲥϫⲟⲟⲥ	2
ϣⲁⲧⲡⲁϣⲉ	2
ⲉⲧ︤ϥ︥ⲟ̂	2
ⲛⲧⲁⲩϣⲱⲡⲉ	2
ⲙ̄ⲡⲕⲟⲥⲙⲟⲥ	2
ϩⲛ̄ⲟⲩⲉⲓⲣⲏⲛⲏ	2
ϫⲉⲟⲩⲡⲣⲟⲫⲏⲧⲏⲥ	2
ⲉⲛⲉⲩϩⲃⲏⲩⲉ	2
ϫⲉⲛⲉϥⲟⲩⲱⲙ	2
ⲉϥⲯⲁⲗⲗⲉⲓ	2
ⲛⲧϩⲓⲕⲱⲛ	2
ⲧ︤ⲛ︥	2
ⲭ︤ⲥ︥	2
ⲓ︤︥ⲥ	2
ϫⲉⲛⲉϯⲟⲩⲟϫ	2
ⲛⲧⲉⲣⲉⲥⲥⲱⲧⲙ	2
ⲟⲩⲛ̄ϩⲁϩ	2
ⲡⲇⲓⲕⲁⲓⲟⲛ	2
ⲡⲇⲓⲕⲁⲓⲟⲥ	2
ⲉⲧⲧⲁⲓ̈ⲏⲩ	2
ⲙⲛⲥⲁⲗⲱⲙⲏ	2
ϩ̇ⲙⲡⲉⲓ̇ⲙⲁ	2
ⲟⲩⲱ̄ϣⲧ̄	2
ⲉϫⲛⲣⲱⲙⲉ	2
ⲛ̄ⲧ︤ⲛ︥ϣⲓⲡⲉ	2
ⲟⲩⲱ̄ⲛϩ̄	2
ϩ︤ⲛ︥ⲟⲩⲥⲟⲟⲩⲧ︤ⲛ︥	2
ⲙⲛⲛⲉⲧⲉⲓⲛⲉ	2
ϫⲉⲁⲕϩⲟⲙⲟⲗⲟⲅⲉⲓ	2
ⲡⲉⲛϩⲏⲧⲙⲉϩ	2
ⲉⲛⲉⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ	2
ⲁⲩϯⲡⲉⲩⲟⲩⲟⲉⲓ	2
ⲙⲡⲓⲟⲣⲇⲁⲛⲏⲥ	2
ⲥⲉⲛⲁϣⲁϫⲉ	2
ⲥⲉⲛⲁϣⲱⲡⲉ	2
ⲛ̄ⲧⲉⲩϩⲩⲡⲟⲙⲟⲛⲏ̂	2
ϩ︤ⲛ︥ⲛⲉⲩϩⲃⲏⲩⲉ`	2
ϫⲉⲁϥⲣⲟⲩⲱ	2
ϫⲉⲁϩⲣⲱⲧⲛ	2
ⲉϣϫⲉⲁⲛⲟⲛ	2
ⲁ̇ϫⲓ̇ⲥ	2
ⲉⲛϩⲏⲅⲉⲙⲱⲛ	2
ⲁ̇ϥϫⲓ̇ⲧϥ̇	2
ⲛⲧⲙⲡⲁⲛⲟⲩⲧⲉ	2
ⲉⲧⲣⲉϥⲉⲓⲣⲉ	2
ⲡⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ	2
ⲁⲩⲥ̄ⳁⲟ︤ⲩ︥	2
ⲉ̇ⲡⲉⲓ̇ⲥⲁ	2
ⲁⲩⲧⲉϩⲙⲟⲩⲁ	2
ⲛϣⲙⲛⲧⲥⲱⲱⲡ	2
ϫⲉⲟⲩⲛ̄ⲟⲩⲣⲁⲛ	2
ϫⲉϯⲛⲁⲃⲱⲕ	2
ⲟⲩⲛϩⲟⲓⲛⲉ	2
ⲛⲧⲙⲛⲧⲁⲧⲙⲟⲩ	2
ⲛⲉⲅⲣⲁⲫⲏ	2
ϫⲉⲛⲉϯⲡⲣⲟⲕⲟⲡⲧⲉ	2
ⲛⲉⲛⲟⲭⲟⲥ	2
ⲁ̇ϥϭⲓ̇ⲛⲉ	2
ⲛⲉⲛⲣⲱⲙⲉ	2
ⲛⲉⲥⲛⲏⲩ⳿	2
ϩⲛ̄ⲧⲡⲉ	2
ⲛⲉⲧⲙⲙⲁⲩ	2
ⲛⲉⲧⲧⲁϩⲉ	2
ⲛⲉⲧⲟⲩⲱⲙ	2
ⲛⲉⲩⲕⲱⲧⲉ	2
ⲛⲉⲩⲥⲱⲧⲙ	2
ⲉⲧⲙⲛ̄ⲧϣⲁⲛϩⲧⲏϥ	2
ϩⲛϣⲁϫⲉ	2
ⲉϣⲁϥⲧⲁⲕⲟ	2
ϣⲉⲛⲟⲩⲧⲉ	2
ⲉⲡⲁⲣⲁⲇⲓⲇⲟⲩ	2
ⲛⲧⲉⲡϣⲏⲣⲉ	2
ϩⲱ̇ⲱ̇ⲛ	2
ⲛ̄ⲛⲁϩ︤ⲙ︥ϩⲁⲗ	2
ⲙ̄ⲡⲗⲓⲃⲁⲛⲟⲥ	2
ϩⲛ̇ⲟⲩϩⲓ̇ⲥⲉ	2
ⲉⲛⲉⲛⲧⲁⲡϫⲟⲉⲓⲥ	2
ⲡⲉϥⲭ︤ⲥ︥	2
ϫⲓ̇ϫⲱⲓ	2
ⲉⲧⲣⲉⲩϫⲓⲥⲙⲟⲩ	2
ϫⲉϭⲱϣⲧ	2
ϫⲉϩⲣⲁⲓ	2
ϫⲉϯⲛⲏⲩ	2
ⲁⲩⲕⲁⲣⲱⲟⲩ	2
ⲉⲧⲉⲡⲗⲟⲅⲟⲥ	2
ϫⲓⲛⲛ̄ϣⲟⲣⲡ	2
ⲙⲡⲉⲉⲓϩⲱⲃ	2
ⲉⲣϣⲁⲛⲡⲣⲱⲙⲉ	2
ⲙ̄ⲡⲧⲱϩ︤ⲙ︥	2
ⲛⲉⲛⲧⲁⲩⲛⲁⲩ	2
ϣⲁⲧⲥⲩⲛⲧⲉⲗⲉⲓⲁ	2
ϩⲛⲧⲕⲓⲃⲱⲧⲟⲥ	2
ϩⲓϫⲛⲡⲉⲥⲧⲁⲩⲣⲟⲥ	2
ⲙ̄ⲡⲟⲩⲉⲓⲱⲧ	2
ⲙ̄ⲡⲟⲩⲟⲉⲓⲛ	2
ⲉⲧ︤ⲕ︥ⲟ̂	2
ϩ︤ⲙ︥ⲡϣⲟϫⲛⲉ`	2
ⲛ̄ϭⲓⲧⲉⲅⲣⲁⲫⲏ	2
ⲛⲧⲁⲩⲕⲁⲁϥ	2
ϫⲉⲁⲕⲁⲑⲁⲣⲧⲟⲥ	2
ⲙ̄ⲡⲉⲩϫⲟⲉⲓⲥ	2
ⲙⲡⲉⲩⲟⲉⲓϣ	2
ⲙⲡⲉⲩⲟⲉⲓⲕ	2
ⲙⲛϩⲉⲛⲡⲣⲁⲝⲓⲥ	2
ϣⲁⲣⲟⲓ̈	2
ⲁϥϣⲡϩⲙⲟⲧ	2
ⲙ︤ⲛ︥ⲡⲉⲛϫⲟⲉⲓⲥ	2
ⲁϥϭⲱϣⲧ	2
ⲁϥϯⲟⲥⲉ	2
ⲉⲙⲡⲉⲑⲟⲟⲩ	2
ⲉⲙⲡⲉⲗⲁⲁⲩ	2
ⲉ̇ϥϫⲏⲕ	2
ⲁϥϫⲓⲧⲟⲩ	2
ϣⲟⲩⲉⲓⲧ	2
ⲉ̄ϩⲟⲩ⳯	2
ⲉ̇ϣⲁϫⲉ	2
ⲟⲩⲗⲟⲅⲟⲥ	2
ⲉ̇ϣⲱⲡⲉ	2
ⲟⲩⲙⲏⲏϣⲉ	2
ϩ︤ⲛ︥ϩⲱⲃ`	2
ⲛ̄ϩⲉⲛⲁⲣⲭⲏ	2
ⲛⲉⲡⲣⲁⲝⲓⲥ	2
ⲟⲩⲛⲧⲏⲧⲛ	2
ⲉⲙⲡⲛⲟⲩⲧⲉ	2
ⲛⲛⲉϥϭⲓϫ	2
ⲟⲩⲧⲟⲡⲟⲥ	2
ⲛ̄ⲥⲁⲧⲏⲩⲧ︤ⲛ︥	2
ϫⲉⲛⲧⲉⲧⲛⲥⲟⲟⲩⲛ	2
ϩ︤ⲙ︥ⲡⲕⲁϩ`	2
ϩ︤ⲙ︥ⲡⲣⲁⲛ⳿	2
ⲧⲣⲉⲛϯϩⲏⲩ	2
ⲙⲛ̄ⲟⲩⲥⲓϣⲉ	2
ⲁⲩⲙⲟⲩⲧⲉ`	2
ⲛ︤ⲙ︥ⲙⲁϥ	2
ⲛ︤ⲙ︥ⲙⲁⲛ	2
ϥϥⲓⲣⲟⲟⲩϣ	2
ϣⲟⲣ︤ⲡ︥	2
ϥⲙⲟⲩⲧⲉ	2
ϥⲛⲁⲁⲁⲥ	2
ϥⲛⲁⲛⲁⲩ	2
ϥⲟⲩⲱϣⲃ	2
ⲥⲉⲛⲁⲡⲱⲧ`	2
ⲥⲉⲛⲁⲥⲱⲧⲙ	2
ⲥⲉⲛⲁⲧⲁⲁϥ	2
ⲙⲛⲛⲉϥⲇⲁⲓⲙⲱⲛ	2
ϫⲉⲛⲉⲧϩⲁⲧⲏⲥ	2
ⲉⲧⲉⲧⲛⲟⲩⲛⲉ	2
ⲁ̇ⲩⲡⲱⲧ	2
ϣⲁⲁⲣⲏϫ︤ⲥ︥	2
ⲉⲧϩⲓϫⲙⲡⲕⲁϩ	2
ⲁⲥⲁⲙⲟⲩⲏⲗ	2
ⲉⲩⲁⲡ̣ⲉⲭⲉ	2
ϩⲙ̄ⲡⲁⲓ̈	2
ⲉⲛⲧⲁⲩϫⲟⲟⲥ	2
ⲛ̇ϭⲓ̇ⲟⲩϩ̇ⲗⲗⲟ	2
ⲛ̄ⲧⲉⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ`	2
ⲉⲧⲟⲩⲛⲁⲧⲁⲁϥ	2
ⲛⲉⲩⲛⲟⲩⲣⲱⲙⲉ	2
