#1|orig_group	count
ⲛⲧⲉⲓϩⲉ	17
ϫⲱ	17
[..]	17
ⲉⲣⲟⲓ	17
ⲁϥϫⲟⲟⲥ	17
ⲉ̇ⲣⲟϥ	17
ⲛⲧⲉⲣⲉϥⲛⲁⲩ	16
ⲉⲃⲟⲗ`	16
ⲉⲡⲙⲟⲩ	16
ⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ	16
ϩⲱ	16
ϩⲁϩ	16
ⲡϣⲉ	16
ϩⲏⲧϥ	16
ⲉϫⲱϥ	16
ⲛⲁⲓ̇	16
ⲛⲛⲁⲓ	16
ⲛ̄ϩⲏⲧ︤ϥ︥	16
ⲙ̇ⲙⲟϥ	16
ⲉⲣⲁⲧϥ	15
ⲛⲉϥϫⲱ	15
ⲙⲡⲛⲁⲩ	15
ⲉⲡⲛⲟⲩⲧⲉ	15
ⲛⲉⲥⲛⲏⲩ	15
ⲧⲏⲣⲟⲩ`	15
ⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ	15
ϩⲱⲟⲩ	15
ⲉⲛⲉϩ	15
ϣⲁϩⲣⲁⲓ	15
ϩⲟⲧⲁⲛ	15
ϫⲉⲃⲱⲕ	15
ⲛ̄ⲥⲱⲟⲩ	15
ⲁϥⲟⲩⲱϣⲃ	15
ⲁⲩⲃⲱⲕ	14
ⲉⲧⲉⲛⲟⲩ	14
ⲛⲥⲱⲟⲩ	14
ⲧⲏⲣϥ̄	14
ⲛⲁϣⲱⲡⲉ	14
ⲉⲧⲃⲏⲏⲧϥ	14
ⲛⲏⲧ︤ⲛ︥	14
ⲛϭⲓⲓⲏⲥⲟⲩⲥ	14
ⲉⲧ︤ⲙ︥ⲙⲁⲩ	14
ⲁϣ	14
ⲧⲱⲛ	14
ⲉϩⲣⲁⲓ̄	14
ϩⲓⲱⲱϥ	14
ϩⲛⲧⲡⲉ	14
ϫⲉⲉⲧⲃⲉⲟⲩ	14
ⲉⲛⲉⲛⲉⲣⲏⲩ	14
ⲁϥⲛⲁⲩ	14
ⲉ̄ⲣⲟϥ	14
ⲛⲧⲉⲣⲉϥⲃⲱⲕ	13
ϫⲓⲛⲛϣⲟⲣⲡ	13
ⲉⲗⲁⲁⲩ	13
ⲉⲣⲁⲧⲟⲩ	13
ⲕⲁⲗⲱⲥ	13
ⲙⲙⲁⲧⲉ	13
ⲛⲙⲙⲁⲛ	13
ⲙⲡⲉⲛϫⲟⲉⲓⲥ	13
ϩⲉⲛⲕⲟⲟⲩⲉ	13
ⲛ	13
[...]	13
ⲛϩⲁϩ	13
ⲛⲧⲡⲉ	13
ⲧⲟⲧⲉ	13
ⲛⲟⲩⲟⲉⲓϣ	13
ϩⲓϫⲱϥ	13
ⲙ̄ⲙⲟⲓ̈	13
ϩⲉⲛⲣⲱⲙⲉ	13
ⲛϩⲟⲟⲩ	13
ⲛⲙⲙⲁⲓ	12
ⲉⲧⲃⲉⲡⲁⲓ	12
ⲙⲛⲛⲥⲱⲥ	12
ⲛ̄ⲧⲱⲧ︤ⲛ︥	12
ⲛ̄ⲛⲉⲛⲉⲣⲏⲩ	12
[	12
ϩⲱⲃ	12
ⲕⲁⲓ	12
ⲡⲉ⳿	12
ϩⲣⲁⲓ	12
ⲛⲧⲉⲧⲛⲥⲟⲟⲩⲛ	12
ⲛ̄ϩⲉ	12
ⲉⲓϫⲱ	12
ⲛⲓ̇ⲙ	12
ϩⲙⲡⲉⲭⲣⲓⲥⲧⲟⲥ	12
ⲁϥϣⲗⲏⲗ	12
ⲉ̄ϩⲟⲩⲛ	12
ⲉ̇ϩⲟⲩⲛ	12
ϩⲏⲧ︤ϥ︥	12
ⲉϥϩⲟⲟⲩ	12
ⲉϩⲟⲩⲛ⳿	12
ⲛⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ	12
ⲙ̄ⲡⲛⲁⲩ	12
ⲁϥⲙⲟⲩⲧⲉ	12
ⲉϥⲛⲏⲩ	12
ⲛϣⲟⲣⲡ	12
ⲉⲡⲁϩⲟⲩ	11
ⲛⲗⲁⲁⲩ	11
ⲛⲛⲟⲩϫ	11
ⲧⲱⲟⲩⲛ	11
ⲙⲡⲥⲱⲙⲁ	11
ⲛⲁⲛⲟⲩⲥ	11
ⲛⲛⲉⲅⲣⲁⲫⲏ	11
…	11
ϩⲉ	11
ⲛ̄ϫⲓⲟⲩⲉ	11
ⲉϫⲱⲛ	11
Ⲁⲩⲱ̇	11
ⲁⲛⲁⲩ	11
ⲟⲩⲟⲛ	11
ⲡⲥⲟⲛ	11
ϫⲓⲛⲛ̄ϣⲟⲣ︤ⲡ︥	11
ⲉϥϣⲁϫⲉ	11
ϫⲉⲡϫⲟⲉⲓⲥ	11
ⲛ̄ⲛⲁⲓ̈	11
ⲛ̄ⲧⲟⲟⲩ	11
ⲉⲛⲁϣⲱⲟⲩ	11
ⲛ̄ϩⲁϩ	11
ⲛ̄ⲧⲟ̂	11
ⲛ̄ⲧⲟⲕ	11
ⲉⲩϣⲁϫⲉ	11
ϩⲙⲡⲥⲱⲙⲁ	11
ⲉⲟⲩⲱⲙ	10
ⲉⲡⲏⲉⲓ	10
ⲙⲟⲛⲟⲛ	10
ⲛⲟⲩⲟⲛ	10
ⲧⲏⲣⲧⲛ	10
ⲉ̄ⲧⲟⲩⲁⲁⲃ	10
ϫⲉⲡⲛⲟⲩⲧⲉ	10
ⲡⲉⲡⲛⲉⲩⲙⲁ	10
[....]	10
ⲙⲙⲏⲏϣⲉ	10
ⲡⲙⲏⲏϣⲉ	10
ϫⲉⲉϣⲱⲡⲉ	10
ⲙⲛⲛⲉⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ	10
ⲛ̄ⲟⲩⲣⲱⲙⲉ	10
ϩⲙⲡϫⲟⲉⲓⲥ	10
ⲁⲡⲛⲟⲩⲧⲉ	10
ⲛⲧⲁⲡⲛⲟⲩⲧⲉ	10
[........]	10
ⲙ̄ⲙⲱⲧ︤ⲛ︥	10
ϯ	10
.ⲻ	10
ϥⲓ	10
ⲉⲩⲟ	10
ⲟⲛ`	10
ⲙⲙⲉ	10
ⲛⲧⲟ	10
ⲁⲩϩⲉ	10
ⲉⲁⲁⲩ	10
ⲙⲡⲁⲓ	10
ⲛⲁⲡⲁ	10
ⲛⲥⲟⲡ	10
ⲥⲱⲧⲙ	10
ⲧⲁⲓ̇	10
ⲧⲏⲣⲛ	10
ⲓ︦ⲥ︦	10
ϣⲁⲣⲱⲧⲛ	10
ϫⲉⲡⲥⲁϩ	10
ⲛⲟⲩⲣⲱⲙⲉ	10
ⲛ̄ⲧⲟⲣⲅⲏ	10
ⲛ̄ϩⲟⲩⲟ	10
ϩⲏⲧⲟⲩ	10
ⲙⲡⲟⲛⲏⲣⲟⲛ	10
ϩⲁⲧ︤ⲛ︥ⲧⲏⲩⲧ︤ⲛ︥	10
ⲛ̄ϩⲏⲧ︤ⲛ︥	10
ⲕⲁⲧⲁⲛⲉⲅⲣⲁⲫⲏ	10
ⲙ̄ⲙⲁⲧⲉ	10
