ϣⲁ ⲧⲉⲛⲟⲩ
ϣⲁ ⲱ
ϣⲉ ⲛϣⲟⲛⲧⲉ
ϣⲉ ⲛϩⲓⲛ
ϣⲉ ⲛⲑⲱⲟⲩϯ
ϣⲉ ⲛⲕⲉϩ
ϣⲉ ⲛⲗⲟⲩⲝ
ϣⲉ ⲛⲛⲟϩ
ϣⲉ ⲛⲟⲩⲱϩ
ϣⲉ ⲛⲟⲩⲱⲧϩ
ϣⲉⲉⲣⲉ ϣⲏⲙ
ϣⲉⲡ ⲧⲟⲟⲧ
ϣⲏⲙ ϣⲏⲙ
ϣⲏⲣ ⲛⲉⲃⲓⲱ
ϣⲏⲣⲉ ϣⲏⲙ
ϣⲏⲣⲉ ⲛⲟⲩⲱⲧ
ϣⲓⲛⲉ ⲉ
ϣⲓⲛⲉ ⲉⲧⲃⲉ
ϣⲓⲛⲉ ⲛⲥⲁ
ϣⲗⲟⲩⲗⲁⲓ ⲉⲃⲟⲗ
ϣⲛⲉ ⲛϩⲓⲟⲩⲉ
ϣⲡ ⲧⲟⲟⲧ
ϣⲥ ⲛⲉⲓϥⲧ
ϣⲥ ⲛⲓϥⲧ
ϣⲫⲏⲣ ⲙⲙⲟϣⲓ
ϣⲫⲏⲣ ⲛⲱⲛϧ
ϣⲱⲡ ⲉ
ϣⲱⲡ ⲉϫⲛ
ϣⲱⲡ ⲛ
ϣⲱⲡⲉ ⲛϩⲁⲓⲉ
ϣⲱⲡⲉ ⲛϫⲁⲉⲓⲉ
ϣⲱⲡⲉ ⲛϫⲁⲓⲉ
ϣⲱⲡⲉ ⲛⲥⲟⲗⲥⲗ
ϣⲱⲱⲧ ⲉⲃⲟⲗ
ϥⲓ ϩⲁ
ϥⲓ ⲉⲃⲟⲗ
ϥⲓ ⲙⲙⲁⲩ
ϥⲓ ⲙⲛ
ϥⲓ ⲛϫⲓⲟⲩⲉ
ϥⲓ ⲛⲉⲓⲁⲧ ⲉϩⲣⲁⲓ
ϥⲓ ⲛⲧⲁⲡⲉ
ϥⲱⲧⲉ ⲉⲃⲟⲗ
ϧⲉⲛ ⲟⲩⲭⲱⲡ
ϩⲁϩ ⲛⲥⲟⲡ
ϩⲁϭⲓⲛ ⲛⲥⲧⲟⲓ
ϩⲃⲟⲣⲃⲣ ⲉⲃⲟⲗ
ϩⲉ ⲉ
ϩⲉ ⲉϩⲣⲁⲓ
ϩⲉ ⲉⲃⲟⲗ
ϩⲉ ⲉⲡⲟⲩⲟⲉⲓϣ
ϩⲉ ⲛϣⲱⲙ
ϩⲉ ⲡ ⲟⲩⲱ
ϩⲏ ⲛⲧⲏⲩ
ϩⲏⲡⲡⲉ ⲓⲥ
ϩⲏⲧ ϣⲏⲙ
ϩⲏⲧ ⲛⲟⲩⲱⲧ
ϩⲏⲧ ⲥⲛⲁⲩ
ϩⲓ ⲉϩⲣⲁⲓ
ϩⲓ ⲧⲟⲟⲧ
ϩⲓⲁϭⲛⲓ ⲛⲥⲁ
ϩⲓⲉⲃⲣⲏϫ ⲉⲃⲟⲗ
ϩⲓⲏ ⲙⲙⲟⲟϣⲉ
ϩⲓⲑⲃⲏⲣ ⲉⲃⲟⲗ
ϩⲓⲕⲱⲧⲉ ⲉⲃⲟⲗ
ϩⲓⲟⲩⲉ ⲉⲃⲟⲗ
ϩⲓⲟⲩⲓ ⲉⲡϩⲁⲡ
ϩⲛ ⲟⲩϫⲓⲛϭⲟⲛⲥ
ϩⲛ ⲟⲩϫⲱⲗⲕ ⲉⲃⲟⲗ
ϩⲛ ⲟⲩϫⲱⲛϥ
ϩⲛ ⲟⲩϭⲉⲡⲏ
ϩⲛ ⲟⲩⲟⲩⲱⲗⲥ
ϩⲛ ⲟⲩⲟⲩⲱⲛϩ ⲉⲃⲟⲗ
ϩⲛ ⲟⲩⲱⲛϩ ⲉⲃⲟⲗ
ϩⲛ ⲧⲉⲟⲩⲛⲟⲩ
ϩⲛ ⲧⲡⲉ
ϩⲛⲁⲁⲩ ⲛⲕⲁⲥⲟⲧⲉ
ϩⲛⲟⲩϣⲡⲉ ⲛϣⲱⲡ
ϩⲟ ⲙⲛϩⲟ
ϩⲟⲟⲩ ϩⲟⲟⲩ
ϩⲟⲩⲧ ⲥϩⲓⲙⲉ
ϩⲣⲁⲓ ϩⲛ
ϩⲣⲟϣ ⲛϩⲏⲧ
ϩⲱ ⲉ
ϩⲱⲃ ⲛϭⲓϫ
ϩⲱⲃ ⲛⲓⲙ
ϫⲁϫ ⲛⲗⲓⲗ
ϫⲉⲕ ⲣⲱ
ϫⲉⲙ ⲡⲓ ⲣⲏϯ
