life.cyrus.01	ⲡⲁⲙⲃⲱ ⲡⲉⲓ ⲉⲗⲁⲭⲓⲥⲧⲟⲥ	person	Pambo
Ruth_01	ⲟⲣⲫⲁ	person	Orpah
Ruth_04	ⲛⲁⲁⲥⲥⲱⲛ	person	Nahshon
martyrdom.victor.01	ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ ⲇⲉ ⲡ ⲣⲣⲟ	person	Diocletian
dormition.john.mercad	ⲓⲱϩⲁⲛⲛⲏⲥ ⲡ ⲑⲉⲟⲗⲟⲅⲟⲥ	person	John the Apostle
life.cyrus.01	ⲗⲁⲃⲁⲛ	person	Laban (Bible)
Ruth_04	ⲫⲁⲣⲉⲥ	person	Perez (son of Judah)
Mark_03	ⲧ ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	place	Jerusalem
Ruth_04	ϩⲣⲟⲩⲑ	person	Ruth (biblical figure)
Mark_05	ⲗⲉⲅⲓⲱⲛ	person	Legion (demons)
Mark_02	ⲓⲱϩⲁⲛⲛⲏⲥ	person	John the Baptist
dormition.john.mercad	ⲡ ϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ	person	Jesus
Ruth_04	ⲓⲉⲥⲥⲁⲓ	person	Jesse
life.cyrus.01	ⲟⲛⲟⲣⲓⲟⲥ	person	Honorius (emperor)
life.cyrus.01	ⲡⲁ ⲙⲉⲣⲓⲧ ⲛ ⲥⲟⲛ ⲁⲡⲁ ⲡⲁⲙⲃⲱ	person	Pambo
a22.YA421-428	ⲡⲉⲛ ϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ	person	Jesus
Mark_09	ⲡⲉⲧⲣⲟⲥ	person	Saint Peter
Mark_09	ⲙⲱⲩⲥⲏⲥ	person	Moses
Ruth_04	ⲁⲣⲁⲙ	person	Ram (biblical figure)
life.cyrus.01	ⲁⲡⲁ ⲡⲁⲙⲃⲱ ⲡⲉ ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⲛ ⲧ ⲉⲕⲕⲗⲏⲥⲓⲁ ⲛ ϣⲓⲏⲧ	person	Pambo
YA518-520	ϩⲣⲉⲃⲉⲕⲕⲁ	person	Rebecca
Ruth_04	ⲥⲁⲗⲙⲱⲛ	person	Salmon (biblical figure)
XH204-216	ⲡⲉⲕ ⲗⲁⲟⲥ ⲡ ⲓⲥⲣⲁⲏⲗ	organization	Israelites
Ruth_04	ⲇⲁⲩⲉⲓⲇ	person	David
Mark_09	ⲓⲱϩⲁⲛⲛⲏⲥ	person	John the Apostle
proclus.13.easter	ⲡ ⲇⲓⲁⲃⲟⲗⲟⲥ	person	Devil
life.cyrus.01	ⲡ ⲙⲁⲕⲁⲣⲓⲟⲥ ⲁⲛⲧⲱⲛⲓⲟⲥ	person	Anthony the Great
life.onnophrius.01	ⲡ ⲓⲥⲣⲁⲏⲗ	place	Israelites
Mark_01	ⲓⲁⲕⲱⲃⲟⲥ	person	James the Great
Mark_03	ⲓⲁⲕⲱⲃⲟⲥ	person	James the Great
Mark_09	ⲓⲁⲕⲱⲃⲟⲥ	person	James the Great
proclus.13.easter	ⲁⲛⲑⲉⲙⲓⲟⲥ	person	Anthemius of Tralles
Mark_01	ⲏⲥⲁⲓⲁⲥ ⲡⲉ ⲡⲣⲟⲫⲏⲧⲏⲥ	person	Isaiah
life.cyrus.01	ⲏⲥⲁⲩ · ⲡⲉϥ ⲥⲟⲛ	person	Esau
Mark_07	ⲏⲥⲁⲓⲁⲥ	person	Isaiah
