ϥ	3097
ⲁ	1739
ⲛ	1736
ⲟⲩ	1544
ⲉ	1456
.	1115
ⲟⲩⲟϩ	1056
ⲡⲓ	999
ⲛⲁ	904
ⲉⲧ	863
ⲩ	815
ⲙ	797
ϫⲉ	747
ϧⲉⲛ	671
ⲡ	632
ⲥ	615
ϯ	610
ⲛⲧⲉ	555
ⲛⲓ	541
ⲫ	478
ⲓ	450
ⲇⲉ	445
ⲉⲃⲟⲗ	435
ⲙⲙⲟ	402
ⲛϫⲉ	373
ⲛⲉⲙ	362
ⲡⲉ	349
ⲧⲉⲛ	297
ϩⲁⲛ	267
ⲁⲛ	233
ⲛⲟⲩϯ	219
ⲕ	215
ϣⲱⲡⲓ	209
ⲣⲏϯ	208
ⲉⲧⲉ	207
ⲛⲏ	196
ⲡⲁⲓ	194
ⲫⲏ	194
ⲛⲱ	192
ϫⲱ	189
ⲉⲣⲟ	177
ⲡⲉϥ	177
ⲉⲑ	175
ⲅⲁⲣ	170
ⲟⲩⲟⲛ	163
ⲛⲁⲩ	162
ⲧⲏⲣ	158
ⲥⲉ	147
ⲣⲱⲙⲓ	144
ⲧ	134
ⲟⲩⲁⲃ	133
ⲟⲩⲁⲓ	130
ⲥⲁϫⲓ	127
ⲛⲓⲃⲉⲛ	122
ⲡⲉϫⲁ	120
ⲙⲏϣ	119
ⲫⲁⲓ	118
ⲛⲉϥ	117
ⲉⲑⲃⲉ	116
ϩⲓⲛⲁ	112
ⲁⲗⲗⲁ	111
ⲛⲁⲓ	107
ⲓⲏⲥⲟⲩⲥ	101
ⲉⲙⲓ	96
ⲉⲣⲉ	96
ⲙⲁ	95
ⲟⲩⲣⲟ	94
ⲟⲓ	93
ⲕⲉ	93
ϣⲁ	89
ⲛⲉ	89
ⲑⲏⲛⲟⲩ	88
ⲉϧⲟⲩⲛ	87
ϩⲏⲧ	87
ⲭⲣⲓⲥⲧⲟⲥ	85
ⲉⲣ	84
ⲓⲉ	81
ⲉϫⲉⲛ	81
ⲧⲉϥ	80
ⲙⲙⲁⲩ	79
ⲡⲁ	78
ϭⲓ	78
ⲙⲡⲉ	78
ϩⲗⲓ	77
ⲙⲙⲱ	76
ⲟⲛ	76
ϭⲟⲓⲥ	75
ⲭⲁ	74
ⲉⲣⲱ	73
ⲡⲛⲉⲩⲙⲁ	73
ϣⲏⲣⲓ	73
ⲛⲓϣϯ	70
ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	70
ϩⲓ	69
ⲕⲁⲧⲁ	68
ⲉϣⲱⲡ	68
ⲥⲱⲧⲉⲙ	65
ⲉϩⲟⲟⲩ	65
ⲁⲗⲟⲩ	65
ϩⲱⲃ	64
ⲙⲙⲟⲛ	64
ϣⲉ	63
ⲥϩⲓⲙⲓ	63
ϫⲟ	63
ⲟⲩⲱⲙ	62
ⲧⲉⲧⲉⲛ	62
ⲁⲛⲟⲕ	61
ⲛⲑⲟϥ	60
ⲥⲱⲙⲁ	60
ϧⲁ	59
ⲛϧⲏⲧ	57
ⲛⲉⲙⲁ	56
ϣⲧⲉⲙ	56
ϩⲓⲧⲉⲛ	54
ⲧⲁ	53
ⲛⲧ	53
ⲓⲱⲧ	53
ⲉⲣⲟⲩⲱ	51
ⲟⲩⲱϣ	50
ⲛⲁϩϯ	50
ⲉⲡⲓⲥⲕⲟⲡⲟⲥ	50
ⲙⲟⲩ	49
ϭⲟⲉⲓⲥ	48
ⲓⲥⲁⲁⲕ	48
ϩⲱ	47
ⲉⲛ	47
ⲙⲟϣⲓ	46
ⲛⲟⲩ	46
ⲟⲩⲇⲉ	46
ϣⲟⲡ	45
ⲙⲁⲣⲉ	44
ⲉϫⲱ	44
